week,date,team,opponent,home_or_away,time,rest_days,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,spot_value_score,max_future_prob,future_depth_ge55,future_depth_ge60
14,2025-12-07,BAL,PIT,Home,1:00 PM,10,False,False,False,Low,0.3571,,,False,False,False,,0.3357,0.8039,1,1
15,2025-12-14,BAL,CIN,Away,1:00 PM,7,False,False,False,Low,0.4545,,,False,False,False,,0.3636,0.8039,1,1
16,2025-12-21,BAL,NE,Home,1:00 PM,7,False,False,False,Medium,0.8039,,,False,False,False,,0.6931,0.4878,0,0
17,2025-12-28,BAL,GB,Away,1:00 PM,7,False,False,False,Low,0.4878,,,False,False,False,,0.3902,0.3571,0,0
18,2026-01-04,BAL,PIT,Away,1:00 PM,7,False,False,False,Low,0.3571,,,False,False,False,,0.2857,0.0,0,0
1,2025-09-07,BUF,BAL,Home,8:20 PM,7,False,False,False,Low,0.505,,,False,False,False,,0.454,0.8667,8,6
2,2025-09-14,BUF,NYJ,Away,1:00 PM,7,False,False,False,Medium,0.8039,,,False,False,False,,0.6431,0.8667,7,5
3,2025-09-18,BUF,MIA,Home,8:15 PM,4,False,False,False,Low,0.3333,,,False,False,False,,0.3166,0.8667,7,5
4,2025-09-28,BUF,NO,Home,1:00 PM,10,False,False,False,High,0.8667,,,False,False,False,,0.7434,0.8039,6,4
5,2025-10-05,BUF,NE,Home,8:20 PM,7,False,False,False,Low,0.3571,,,False,False,False,,0.3357,0.8039,6,4
6,2025-10-13,BUF,ATL,Away,7:15 PM,8,False,False,False,Medium,0.7101,,,False,False,False,,0.5181,0.8039,5,3
8,2025-10-26,BUF,CAR,Away,1:00 PM,13,False,False,False,Low,0.2857,,,False,False,False,,0.2786,0.8039,5,3
9,2025-11-02,BUF,KC,Home,4:25 PM,7,False,False,False,Medium,0.5968,,,False,False,False,,0.5274,0.8039,4,3
10,2025-11-09,BUF,MIA,Away,1:00 PM,7,False,False,False,Low,0.3333,,,False,False,False,,0.2666,0.8039,4,3
11,2025-11-16,BUF,TB,Home,1:00 PM,7,False,False,False,Medium,0.7101,,,False,False,False,,0.6181,0.8039,3,2
12,2025-11-20,BUF,HOU,Away,8:15 PM,4,False,False,False,Low,0.3937,,,False,False,False,,0.315,0.8039,3,2
13,2025-11-30,BUF,PIT,Away,4:25 PM,10,False,False,False,Low,0.3571,,,False,False,False,,0.2857,0.8039,3,2
14,2025-12-07,BUF,CIN,Home,4:25 PM,7,False,False,False,Medium,0.7041,,,False,False,False,,0.6133,0.8039,2,1
15,2025-12-14,BUF,NE,Away,1:00 PM,7,False,False,False,Low,0.3571,,,False,False,False,,0.2357,0.8039,2,1
16,2025-12-21,BUF,CLE,Away,1:00 PM,7,False,False,False,Low,0.2439,,,False,False,False,,0.1951,0.8039,2,1
17,2025-12-28,BUF,PHI,Home,4:25 PM,7,False,False,False,Low,0.5556,,,False,False,False,,0.4945,0.8039,1,1
18,2026-01-04,BUF,NYJ,Home,1:00 PM,7,False,False,False,Medium,0.8039,,,False,False,False,,0.6931,0.0,0,0
1,2025-09-07,CAR,JAX,Away,1:00 PM,7,False,False,False,Low,0.6078,,,False,False,False,,0.4862,0.7826,7,6
2,2025-09-14,CAR,ARI,Away,4:05 PM,7,False,False,False,Low,0.3704,,,False,False,False,,0.2963,0.7826,7,6
3,2025-09-21,CAR,ATL,Home,1:00 PM,7,False,False,False,Low,0.4167,,,False,False,False,,0.3834,0.7826,7,6
4,2025-09-28,CAR,NE,Away,1:00 PM,7,False,False,False,Medium,0.6491,,,False,False,False,,0.5193,0.7826,6,5
5,2025-10-05,CAR,MIA,Home,1:00 PM,7,False,False,False,Low,0.495,,,False,False,False,,0.446,0.7826,6,5
6,2025-10-12,CAR,DAL,Home,1:00 PM,7,False,False,False,Low,0.4878,,,False,False,False,,0.4402,0.7826,6,5
7,2025-10-19,CAR,NYJ,Away,1:00 PM,7,False,False,False,Low,0.5556,,,False,False,False,,0.4445,0.7826,5,5
8,2025-10-26,CAR,BUF,Home,1:00 PM,7,False,False,False,Medium,0.7561,,,False,False,False,,0.6049,0.7826,4,4
9,2025-11-02,CAR,GB,Away,1:00 PM,7,False,False,False,Medium,0.7826,,,False,False,False,,0.6261,0.7561,3,3
10,2025-11-09,CAR,NO,Home,1:00 PM,7,False,False,False,Low,0.495,,,False,False,False,,0.446,0.7561,3,3
11,2025-11-16,CAR,ATL,Away,1:00 PM,7,False,False,False,Low,0.4167,,,False,False,False,,0.3334,0.7561,3,3
12,2025-11-24,CAR,SF,Away,8:15 PM,8,False,False,False,Medium,0.7561,,,False,False,False,,0.6049,0.7561,2,2
13,2025-11-30,CAR,LAR,Home,1:00 PM,6,False,False,False,Low,0.3937,,,False,False,False,,0.365,0.7561,2,2
15,2025-12-14,CAR,NO,Away,4:25 PM,14,False,False,False,Low,0.495,,,False,False,False,,0.446,0.7561,2,2
16,2025-12-21,CAR,TB,Home,1:00 PM,7,False,False,False,Medium,0.7561,,,False,False,False,,0.6549,0.7561,1,1
17,2025-12-28,CAR,SEA,Home,1:00 PM,7,False,False,False,Low,0.4878,,,False,False,False,,0.4402,0.7561,1,1
18,2026-01-04,CAR,TB,Away,1:00 PM,7,False,False,False,Medium,0.7561,,,False,False,False,,0.6049,0.0,0,0
1,2025-09-08,CHI,MIN,Home,8:15 PM,7,False,False,False,Medium,0.5868,,,False,False,False,,0.5194,0.7753,10,8
2,2025-09-14,CHI,DET,Away,1:00 PM,6,False,False,False,Low,0.4878,,,False,False,False,,0.3902,0.7753,10,8
3,2025-09-21,CHI,DAL,Home,4:25 PM,7,False,False,False,Medium,0.6241,,,False,False,False,,0.5493,0.7753,9,7
4,2025-09-28,CHI,LV,Away,4:25 PM,7,False,False,False,Low,0.495,,,False,False,False,,0.396,0.7753,9,7
6,2025-10-13,CHI,WSH,Away,8:15 PM,15,False,False,False,Medium,0.6721,,,False,False,False,,0.5877,0.7753,8,6
7,2025-10-19,CHI,NO,Home,1:00 PM,6,False,False,False,Medium,0.7753,,,False,False,False,,0.6702,0.7647,7,5
8,2025-10-26,CHI,BAL,Away,1:00 PM,7,False,False,False,Low,0.2778,,,False,False,False,,0.1722,0.7647,7,5
9,2025-11-02,CHI,CIN,Away,1:00 PM,7,False,False,False,Medium,0.6296,,,False,False,False,,0.5037,0.7647,6,4
10,2025-11-09,CHI,NYG,Home,1:00 PM,7,False,False,False,Medium,0.697,,,False,False,False,,0.6076,0.7647,5,3
11,2025-11-16,CHI,MIN,Away,1:00 PM,7,False,False,False,Low,0.5868,,,False,False,False,,0.4694,0.7647,4,3
12,2025-11-23,CHI,PIT,Home,1:00 PM,7,False,False,False,Medium,0.5745,,,False,False,False,,0.5096,0.7647,3,3
13,2025-11-28,CHI,PHI,Away,3:00 PM,5,False,False,False,Medium,0.7647,,,False,False,False,,0.6118,0.7561,2,2
14,2025-12-07,CHI,GB,Away,1:00 PM,9,False,False,False,Low,0.4878,,,False,False,False,,0.3902,0.7561,2,2
15,2025-12-14,CHI,CLE,Home,1:00 PM,7,False,False,False,Medium,0.7561,,,False,False,False,,0.6549,0.6575,1,1
16,2025-12-20,CHI,GB,Home,1:00 PM,6,False,False,False,Low,0.4878,,,False,False,False,,0.4402,0.6575,1,1
17,2025-12-28,CHI,SF,Away,8:20 PM,8,False,False,False,Medium,0.6575,,,False,False,False,,0.526,0.4878,0,0
18,2026-01-04,CHI,DET,Home,1:00 PM,7,False,False,False,Low,0.4878,,,False,False,False,,0.4402,0.0,0,0
