team,weeks_remaining,max_future_prob,future_depth_ge55,future_depth_ge60,depth_delta_60_minus_55
ARI,17,0.6543529411764706,6.0588235294117645,4.882352941176471,-1.1764705882352935
ATL,17,0.6712470588235293,4.764705882352941,3.7058823529411766,-1.0588235294117645
BAL,17,0.7430294117647058,2.588235294117647,2.411764705882353,-0.17647058823529438
BUF,17,0.7676941176470587,4.0,2.7058823529411766,-1.2941176470588234
CAR,17,0.7240941176470588,3.823529411764706,3.4705882352941178,-0.3529411764705883
CHI,17,0.6929235294117647,4.9411764705882355,3.823529411764706,-1.1176470588235294
CIN,17,0.7566117647058823,4.0,2.2941176470588234,-1.7058823529411766
CLE,17,0.7079352941176471,3.764705882352941,2.588235294117647,-1.176470588235294
DAL,17,0.658835294117647,2.6470588235294117,2.3529411764705883,-0.2941176470588234
DEN,17,0.6781764705882353,5.352941176470588,2.8823529411764706,-2.4705882352941173
DET,17,0.7078235294117646,4.705882352941177,3.235294117647059,-1.4705882352941178
GB,17,0.5389764705882353,2.764705882352941,0.11764705882352941,-2.6470588235294117
HOU,17,0.6804,5.529411764705882,5.176470588235294,-0.35294117647058787
IND,17,0.6763764705882354,3.4705882352941178,2.9411764705882355,-0.5294117647058822
JAX,17,0.6460941176470588,3.235294117647059,2.5294117647058822,-0.7058823529411766
KC,17,0.603829411764706,2.0588235294117645,2.0588235294117645,0.0
LAC,17,0.579864705882353,1.7647058823529411,0.9411764705882353,-0.8235294117647058
LAR,17,0.6557235294117647,3.7058823529411766,2.411764705882353,-1.2941176470588238
LV,17,0.7714470588235295,5.764705882352941,4.352941176470588,-1.4117647058823533
MIA,17,0.6404588235294117,4.176470588235294,2.5294117647058822,-1.6470588235294121
MIN,17,0.603,3.5294117647058822,0.7058823529411765,-2.8235294117647056
NE,17,0.6099294117647059,2.3529411764705883,2.235294117647059,-0.11764705882352944
NO,17,0.7043588235294118,3.235294117647059,2.411764705882353,-0.8235294117647061
NYG,17,0.6653411764705882,2.6470588235294117,1.588235294117647,-1.0588235294117647
NYJ,17,0.5618823529411765,2.176470588235294,0.4117647058823529,-1.7647058823529411
PHI,17,0.6451764705882352,3.8823529411764706,2.7058823529411766,-1.176470588235294
PIT,17,0.6451764705882352,4.823529411764706,2.2941176470588234,-2.5294117647058822
SEA,17,0.5748588235294116,1.2941176470588236,0.4117647058823529,-0.8823529411764707
SF,17,0.7175941176470588,5.176470588235294,3.764705882352941,-1.4117647058823533
TB,17,0.5086,0.4117647058823529,0.0,-0.4117647058823529
TEN,17,0.6684705882352941,3.0,2.0588235294117645,-0.9411764705882355
WSH,17,0.5870705882352941,2.235294117647059,1.5294117647058822,-0.7058823529411766
