week,team,opponent,home_or_away,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,_week_num,_winp,_future_max,_future_good_0_55,_future_good_0_6,_scarcity@0.55,_scarcity@0.6
2,ARI,CAR,Home,,,,,,,,,,,,2,,,0,0,False,False
4,ARI,SEA,Home,,,,,,,,,,,,4,,,0,0,False,False
5,ARI,TEN,Home,,,,,,,,,,,,5,,,0,0,False,False
7,ARI,GB,Home,,,,,,,,,,,,7,,,0,0,False,False
8,ARI,BYE,Home,,,,,,,,,,,,8,,,0,0,False,False
11,ARI,SF,Home,,,,,,,,,,,,11,,,0,0,False,False
12,ARI,JAX,Home,,,,,,,,,,,,12,,,0,0,False,False
14,ARI,LAR,Home,,,,,,,,,,,,14,,,0,0,False,False
16,ARI,ATL,Home,,,,,,,,,,,,16,,,0,0,False,False
1,ATL,TB,Home,,,,,,,,,,,,1,,,0,0,False,False
4,ATL,WSH,Home,,,,,,,,,,,,4,,,0,0,False,False
5,ATL,BYE,Home,,,,,,,,,,,,5,,,0,0,False,False
6,ATL,BUF,Home,,,,,,,,,,,,6,,,0,0,False,False
8,ATL,MIA,Home,,,,,,,,,,,,8,,,0,0,False,False
11,ATL,CAR,Home,,,,,,,,,,,,11,,,0,0,False,False
14,ATL,SEA,Home,,,,,,,,,,,,14,,,0,0,False,False
17,ATL,LAR,Home,,,,,,,,,,,,17,,,0,0,False,False
18,ATL,NO,Home,,,,,,,,,,,,18,,,0,0,False,False
2,BAL,CLE,Home,,,,,,,,,,,,2,,,0,0,False,False
3,BAL,DET,Home,,,,,,,,,,,,3,,,0,0,False,False
5,BAL,HOU,Home,,,,,,,,,,,,5,,,0,0,False,False
6,BAL,LAR,Home,,,,,,,,,,,,6,,,0,0,False,False
7,BAL,BYE,Home,,,,,,,,,,,,7,,,0,0,False,False
8,BAL,CHI,Home,,,,,,,,,,,,8,,,0,0,False,False
12,BAL,NYJ,Home,,,,,,,,,,,,12,,,0,0,False,False
13,BAL,CIN,Home,,,,,,,,,,,,13,,,0,0,False,False
14,BAL,PIT,Home,,,,,,,,,,,,14,,,0,0,False,False
16,BAL,NE,Home,,,,,,,,,,,,16,,,0,0,False,False
1,BUF,BAL,Home,,,,,,,,,,,,1,,,0,0,False,False
3,BUF,MIA,Home,,,,,,,,,,,,3,,,0,0,False,False
4,BUF,NO,Home,,,,,,,,,,,,4,,,0,0,False,False
5,BUF,NE,Home,,,,,,,,,,,,5,,,0,0,False,False
7,BUF,BYE,Home,,,,,,,,,,,,7,,,0,0,False,False
9,BUF,KC,Home,,,,,,,,,,,,9,,,0,0,False,False
11,BUF,TB,Home,,,,,,,,,,,,11,,,0,0,False,False
14,BUF,CIN,Home,,,,,,,,,,,,14,,,0,0,False,False
17,BUF,PHI,Home,,,,,,,,,,,,17,,,0,0,False,False
18,BUF,NYJ,Home,,,,,,,,,,,,18,,,0,0,False,False
3,CAR,ATL,Home,,,,,,,,,,,,3,,,0,0,False,False
5,CAR,MIA,Home,,,,,,,,,,,,5,,,0,0,False,False
6,CAR,DAL,Home,,,,,,,,,,,,6,,,0,0,False,False
8,CAR,BUF,Home,,,,,,,,,,,,8,,,0,0,False,False
10,CAR,NO,Home,,,,,,,,,,,,10,,,0,0,False,False
13,CAR,LAR,Home,,,,,,,,,,,,13,,,0,0,False,False
14,CAR,BYE,Home,,,,,,,,,,,,14,,,0,0,False,False
16,CAR,TB,Home,,,,,,,,,,,,16,,,0,0,False,False
17,CAR,SEA,Home,,,,,,,,,,,,17,,,0,0,False,False
1,CHI,MIN,Home,,,,,,,,,,,,1,,,0,0,False,False
3,CHI,DAL,Home,,,,,,,,,,,,3,,,0,0,False,False
5,CHI,BYE,Home,,,,,,,,,,,,5,,,0,0,False,False
7,CHI,NO,Home,,,,,,,,,,,,7,,,0,0,False,False
10,CHI,NYG,Home,,,,,,,,,,,,10,,,0,0,False,False
12,CHI,PIT,Home,,,,,,,,,,,,12,,,0,0,False,False
15,CHI,CLE,Home,,,,,,,,,,,,15,,,0,0,False,False
16,CHI,GB,Home,,,,,,,,,,,,16,,,0,0,False,False
18,CHI,DET,Home,,,,,,,,,,,,18,,,0,0,False,False
2,CIN,JAX,Home,,,,,,,,,,,,2,,,0,0,False,False
5,CIN,DET,Home,,,,,,,,,,,,5,,,0,0,False,False
7,CIN,PIT,Home,,,,,,,,,,,,7,,,0,0,False,False
