,digit_0,digit_1,digit_2,digit_3,digit_4,digit_5,digit_6,digit_7,digit_8,digit_9
1,9,15,6,9,13,7,3,12,10,6
2,8,12,11,10,7,6,6,10,12,4
3,6,18,6,9,11,8,6,10,6,3
4,7,12,13,5,10,5,6,11,16,5
5,6,20,8,5,7,11,3,11,14,7
6,7,17,7,8,4,4,1,15,9,8
7,5,5,5,9,7,9,3,11,8,2
8,12,11,6,6,9,11,3,6,10,4
9,1,11,5,5,5,7,9,11,12,3
10,6,10,4,8,7,11,5,1,9,7
11,6,13,7,5,6,8,5,8,13,2
12,4,9,6,4,8,8,4,13,13,8
13,7,6,4,7,7,10,5,7,12,3
14,8,13,6,13,1,11,5,12,4,7
15,7,8,5,9,9,9,3,6,7,4
16,7,8,8,10,8,9,4,13,10,7
17,9,10,4,10,6,9,6,13,10,2
18,12,13,4,11,7,12,12,7,8,7
19,3,3,2,8,4,3,3,4,3,3
20,2,1,1,6,0,1,2,4,2,2
21,3,1,0,0,1,1,0,2,0,1
22,2,0,0,1,0,2,0,0,0,0
TOTAL,137,216,118,158,137,162,94,187,188,95
