,digit_0,digit_1,digit_2,digit_3,digit_4,digit_5,digit_6,digit_7,digit_8,digit_9
1,8,11,9,5,13,7,1,8,7,10
2,8,10,14,10,8,6,5,4,7,6
3,8,11,8,10,9,9,11,6,9,5
4,6,8,5,10,6,14,5,4,10,10
5,4,14,2,6,11,7,4,4,10,6
6,6,12,11,8,4,8,6,7,14,5
7,6,4,10,10,6,3,3,4,15,6
8,8,8,12,4,11,7,5,5,7,9
9,5,8,12,10,7,8,1,6,14,4
10,5,7,5,5,8,4,7,9,6,14
11,5,9,8,7,7,5,5,2,8,12
12,11,9,7,10,10,7,8,6,14,5
13,3,7,6,7,12,11,3,2,13,8
14,10,4,5,6,7,9,10,4,7,7
15,8,12,8,6,12,9,4,3,5,4
16,8,12,11,9,13,9,5,8,13,9
17,6,8,8,14,12,9,8,9,7,4
18,2,0,1,0,3,1,4,2,5,1
19,0,1,5,3,1,0,1,1,6,2
20,0,3,2,1,2,2,1,2,0,2
21,1,1,0,1,1,0,1,0,3,0
TOTAL,118,159,149,142,163,135,98,96,180,129
