,digit_0,digit_1,digit_2,digit_3,digit_4,digit_5,digit_6,digit_7,digit_8,digit_9
1,14,9,15,10,6,8,4,7,11,6
2,11,12,7,6,5,5,6,6,5,7
3,9,15,3,20,6,5,3,5,19,6
4,10,12,7,7,12,7,1,5,8,4
5,5,4,15,13,4,9,5,9,6,9
6,11,7,5,7,15,3,7,8,5,2
7,9,11,4,10,10,4,8,4,6,9
8,6,6,4,10,7,5,11,9,10,5
9,8,6,10,3,9,5,6,8,10,8
10,7,3,8,11,7,8,6,5,5,7
11,5,12,9,8,7,6,2,10,7,7
12,10,6,11,8,5,7,2,11,3,1
13,7,10,11,9,8,7,3,12,6,9
14,9,14,6,10,9,7,9,15,9,5
15,13,17,11,10,7,5,12,8,4,6
16,5,14,4,12,8,9,5,10,10,7
17,3,11,10,14,10,12,6,6,7,3
18,0,2,2,3,3,0,2,2,0,0
19,0,3,2,2,7,0,6,7,0,0
20,2,5,1,2,1,1,2,1,0,0
21,0,1,0,0,1,1,2,1,0,0
TOTAL,144,180,145,175,147,114,108,149,131,101
