digit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,110,118,145,194,144,165,137,150,137,127
1,172,159,132,167,180,258,216,183,181,197
2,158,149,136,132,145,124,118,127,101,104
3,144,142,105,129,175,178,158,141,167,147
4,164,163,149,146,147,153,137,146,143,147
5,189,135,133,131,114,141,162,126,131,160
6,79,98,82,127,108,62,94,113,112,131
7,94,96,140,144,149,192,187,162,167,163
8,154,180,160,151,131,172,188,151,150,169
9,132,129,106,104,101,98,95,90,88,116
