,digit_0,digit_1,digit_2,digit_3,digit_4,digit_5,digit_6,digit_7,digit_8,digit_9
1,9,7,4,12,10,6,7,11,6,4
2,11,9,8,9,14,8,2,10,5,2
3,8,10,7,5,9,7,4,9,7,4
4,9,8,11,7,5,6,4,13,16,8
5,9,5,16,5,7,3,5,13,6,5
6,6,13,5,3,4,3,6,6,10,7
7,8,11,3,7,7,6,4,7,7,8
8,10,12,6,11,12,5,8,9,7,3
9,8,7,5,6,7,6,3,8,10,3
10,6,9,5,10,7,8,10,5,10,5
11,10,13,8,1,6,8,4,5,4,4
12,7,8,5,5,10,10,11,7,9,7
13,5,9,6,9,9,6,7,7,7,4
14,13,10,5,4,4,5,8,9,6,5
15,8,12,7,8,6,12,3,14,8,5
16,7,4,2,11,9,5,9,8,9,5
17,7,14,13,10,4,8,4,5,6,3
18,5,8,8,9,7,10,5,6,9,4
19,3,3,2,6,6,1,5,5,6,3
20,0,5,0,2,1,1,2,3,3,0
21,0,2,0,1,1,2,2,1,0,0
22,1,4,1,0,1,0,0,1,0,1
TOTAL,150,183,127,141,146,126,113,162,151,90
