,digit_0,digit_1,digit_2,digit_3,digit_4,digit_5,digit_6,digit_7,digit_8,digit_9
1,16,13,8,9,8,8,8,3,11,3
2,14,11,7,12,7,6,2,9,12,7
3,11,10,6,2,11,4,8,13,11,7
4,11,9,4,4,13,13,3,12,14,4
5,12,8,9,6,8,6,9,7,8,7
6,14,11,6,4,6,9,12,7,8,3
7,15,6,4,8,9,7,6,9,8,5
8,10,12,8,10,10,6,6,6,8,4
9,15,8,7,4,9,5,4,8,9,6
10,9,15,12,10,5,6,5,7,4,7
11,13,7,5,13,6,7,7,11,3,7
12,7,8,6,8,9,9,10,9,10,9
13,12,8,9,5,7,2,8,9,10,5
14,9,5,12,6,8,7,7,8,11,8
15,7,10,7,5,6,8,6,5,5,7
16,7,12,11,5,10,9,7,11,7,4
17,8,10,10,11,8,9,8,8,7,7
18,0,2,1,2,1,5,1,0,2,1
19,3,2,0,4,3,4,4,0,3,2
20,1,0,0,1,2,1,5,2,0,1
21,0,0,0,0,0,0,1,0,0,0
TOTAL,194,167,132,129,146,131,127,144,151,104
