,digit_0,digit_1,digit_2,digit_3,digit_4,digit_5,digit_6,digit_7,digit_8,digit_9
1,6,6,5,4,7,11,4,6,9,7
2,11,4,7,3,9,12,3,8,8,2
3,7,9,10,7,12,8,3,13,13,10
4,8,13,2,10,9,6,7,11,7,4
5,8,4,7,6,6,10,4,10,10,2
6,5,10,10,10,11,3,5,8,10,4
7,13,7,6,6,5,6,5,2,6,8
8,6,8,8,5,2,5,5,5,9,6
9,11,12,8,4,7,3,4,9,7,4
10,5,7,9,6,12,5,1,7,14,9
11,9,8,6,6,9,6,6,6,7,8
12,9,12,7,9,8,7,8,7,6,3
13,5,8,13,7,11,7,5,5,9,4
14,10,2,10,2,11,11,8,11,12,5
15,15,1,12,5,9,14,3,9,9,3
16,9,5,6,3,4,8,5,6,8,8
17,2,11,5,9,8,8,3,4,8,11
18,0,2,3,1,2,0,0,3,3,2
19,3,2,0,2,7,2,2,4,3,2
20,2,1,2,0,0,0,0,3,1,2
21,1,0,0,0,0,1,1,3,1,2
TOTAL,145,132,136,105,149,133,82,140,160,106
