,digit_0,digit_1,digit_2,digit_3,digit_4,digit_5,digit_6,digit_7,digit_8,digit_9
1,7,15,8,9,9,6,5,11,10,8
2,9,19,7,13,13,5,4,13,11,4
3,13,16,6,11,12,7,6,11,9,4
4,11,11,7,13,4,14,2,7,12,9
5,6,18,8,7,9,4,4,10,8,8
6,6,18,6,6,4,7,3,7,12,8
7,13,10,9,6,8,10,4,9,9,5
8,12,16,5,16,5,7,0,14,3,1
9,10,16,5,16,6,9,3,7,8,6
10,3,17,6,7,12,5,3,8,5,4
11,7,10,4,6,7,10,5,9,8,6
12,10,10,12,9,5,11,0,9,13,6
13,10,16,9,12,9,9,1,8,10,4
14,8,9,8,13,9,7,5,14,14,4
15,11,16,8,7,11,9,7,12,13,4
16,11,16,2,9,13,5,4,15,10,6
17,11,15,10,10,6,11,6,14,8,9
18,3,8,1,2,8,2,0,5,5,1
19,3,0,3,4,2,1,0,3,1,0
20,1,1,0,2,1,2,0,4,2,1
21,0,1,0,0,0,0,0,2,1,0
TOTAL,165,258,124,178,153,141,62,192,172,98
