week,team,opponent,date,time,home_or_away,projected_win_prob,team_tot_dvoa,opp_tot_dvoa,dvoa_gap,rating_gap,injury_adjustment,future_scarcity_bonus,moneyline,opp_moneyline,implied_wp,spread,consensus_spread,circa_spread,circa_spread_price
3,CHI,DAL,,,,0.5996387718242023,,,,,,,-166.0,140.0,0.5996387718242023,-3.0,-3.0,,
3,CIN,MIN,,,,0.4675324675324675,,,,,,,105.0,-125.0,0.4675324675324675,1.5,1.5,,
3,CLE,GB,,,,0.3042300479266513,,,,,,,215.0,-265.0,0.30423004792665137,5.5,5.5,,
3,DAL,CHI,,,,0.4003612281757977,,,,,,,140.0,-166.0,0.4003612281757977,3.0,3.0,,
3,DET,BAL,,,,0.3690596562184025,,,,,,,160.0,-192.0,0.3690596562184025,3.5,3.5,,
3,GB,CLE,,,,0.6957699520733487,,,,,,,-265.0,215.0,0.6957699520733487,-5.5,-5.5,,
3,JAX,HOU,,,,0.3775334481388264,,,,,,,154.0,-185.0,0.3775334481388264,3.5,3.5,,
3,KC,NYG,,,,0.7135512302607419,,,,,,,-290.0,235.0,0.7135512302607419,-6.5,-6.5,,
3,LAC,DEN,,,,0.448558885283451,,,,,,,114.0,-135.0,0.448558885283451,2.5,2.5,,
3,LAR,PHI,,,,0.3363518758085381,,,,,,,185.0,-225.0,0.33635187580853815,4.5,4.5,,
3,MIN,CIN,,,,0.5324675324675325,,,,,,,-125.0,105.0,0.5324675324675325,-1.5,-1.5,,
3,NE,PIT,,,,0.5324675324675325,,,,,,,-125.0,105.0,0.5324675324675325,-1.5,-1.5,,
3,NO,SEA,,,,0.2949668357393679,,,,,,,225.0,-278.0,0.2949668357393679,6.5,6.5,,
3,NYG,KC,,,,0.2864487697392581,,,,,,,235.0,-290.0,0.28644876973925815,6.5,6.5,,
3,NYJ,TB,,,,0.2591283863368669,,,,,,,270.0,-340.0,0.2591283863368669,7.5,7.5,,
3,PHI,LAR,,,,0.6636481241914618,,,,,,,-225.0,185.0,0.6636481241914618,-4.5,-4.5,,
3,PIT,NE,,,,0.4675324675324675,,,,,,,105.0,-125.0,0.4675324675324675,1.5,1.5,,
3,SEA,NO,,,,0.705033164260632,,,,,,,-278.0,225.0,0.705033164260632,-6.5,-6.5,,
3,SF,ARI,,,,0.5324675324675325,,,,,,,-125.0,105.0,0.5324675324675325,-1.5,-1.5,,
3,TB,NYJ,,,,0.740871613663133,,,,,,,-340.0,270.0,0.740871613663133,-7.5,-7.5,,
3,TEN,IND,,,,0.3775334481388264,,,,,,,154.0,-185.0,0.3775334481388264,3.5,3.5,,
4,ARI,SEA,,,,0.4739134147382802,,,,,,,102.0,-122.0,0.4739134147382802,1.5,1.5,,
4,BAL,KC,,,,0.4721030042918455,,,,,,,105.0,-120.0,0.4721030042918455,1.5,1.5,,
4,BUF,NO,,,,0.8370993168681029,,,,,,,-675.0,490.0,0.8370993168681029,-12.5,-12.5,,
4,CAR,NE,,,,0.3775334481388264,,,,,,,154.0,-185.0,0.3775334481388264,3.5,3.5,,
4,CHI,LV,,,,0.5260865852617197,,,,,,,-122.0,102.0,0.5260865852617197,-1.5,-1.5,,
4,CIN,DEN,,,,0.4365079365079364,,,,,,,120.0,-142.0,0.43650793650793646,2.5,2.5,,
4,CLE,DET,,,,0.1957070707070707,,,,,,,390.0,-520.0,0.19570707070707072,10.5,10.5,,
4,DAL,GB,,,,0.4675324675324675,,,,,,,105.0,-125.0,0.4675324675324675,1.5,1.5,,
4,DEN,CIN,,,,0.5634920634920635,,,,,,,-142.0,120.0,0.5634920634920635,-2.5,-2.5,,
4,DET,CLE,,,,0.8042929292929294,,,,,,,-520.0,390.0,0.8042929292929294,-10.5,-10.5,,
4,GB,DAL,,,,0.5324675324675325,,,,,,,-125.0,105.0,0.5324675324675325,-1.5,-1.5,,
4,HOU,TEN,,,,0.593369754159424,,,,,,,-162.0,136.0,0.593369754159424,-3.0,-3.0,,
4,IND,LAR,,,,0.2779207411219763,,,,,,,245.0,-305.0,0.27792074112197634,6.5,6.5,,
4,JAX,SF,,,,0.3249687530045188,,,,,,,195.0,-238.0,0.3249687530045188,5.5,5.5,,
4,KC,BAL,,,,0.5278969957081545,,,,,,,-120.0,105.0,0.5278969957081545,-1.5,-1.5,,
4,LAC,NYG,,,,0.6224665518611737,,,,,,,-185.0,154.0,0.6224665518611737,-3.5,-3.5,,
4,LAR,IND,,,,0.7220792588780237,,,,,,,-305.0,245.0,0.7220792588780237,-6.5,-6.5,,
4,LV,CHI,,,,0.4739134147382802,,,,,,,102.0,-122.0,0.4739134147382802,1.5,1.5,,
4,MIA,NYJ,,,,0.5324675324675325,,,,,,,-125.0,105.0,0.5324675324675325,-1.5,-1.5,,
4,MIN,PIT,,,,0.5278969957081545,,,,,,,-120.0,105.0,0.5278969957081545,-1.5,-1.5,,
4,NE,CAR,,,,0.6224665518611737,,,,,,,-185.0,154.0,0.6224665518611737,-3.5,-3.5,,
4,NO,BUF,,,,0.1629006831318969,,,,,,,490.0,-675.0,0.16290068313189698,12.5,12.5,,
4,NYG,LAC,,,,0.3775334481388264,,,,,,,154.0,-185.0,0.3775334481388264,3.5,3.5,,
4,PHI,TB,,,,0.5634920634920635,,,,,,,-142.0,120.0,0.5634920634920635,-2.5,-2.5,,
4,PIT,MIN,,,,0.4721030042918455,,,,,,,105.0,-120.0,0.4721030042918455,1.5,1.5,,
4,SF,JAX,,,,0.6750312469954812,,,,,,,-238.0,195.0,0.6750312469954812,-5.5,-5.5,,
4,TB,PHI,,,,0.4365079365079364,,,,,,,120.0,-142.0,0.43650793650793646,2.5,2.5,,
5,ARI,TEN,,,,0.6750312469954812,,,,,,,-238.0,195.0,0.6750312469954812,-5.5,-5.5,,
5,BAL,HOU,,,,0.7508125677139762,,,,,,,-360.0,285.0,0.7508125677139762,-7.5,-7.5,,
5,BUF,NE,,,,0.6574752261956054,,,,,,,-218.0,180.0,0.6574752261956054,-4.5,-4.5,,
5,CAR,MIA,,,,0.4675324675324675,,,,,,,105.0,-125.0,0.4675324675324675,1.5,1.5,,
5,CIN,DET,,,,0.4739134147382802,,,,,,,102.0,-122.0,0.4739134147382802,1.5,1.5,,
5,CLE,MIN,,,,0.261136712749616,,,,,,,270.0,-325.0,0.26113671274961603,6.75,6.75,,
5,DAL,NYJ,,,,0.551441114716549,,,,,,,-135.0,114.0,0.551441114716549,-2.5,-2.5,,
5,DEN,PHI,,,,0.3425247738043946,,,,,,,180.0,-218.0,0.34252477380439467,4.5,4.5,,
5,DET,CIN,,,,0.5260865852617197,,,,,,,-122.0,102.0,0.5260865852617197,-1.5,-1.5,,
5,HOU,BAL,,,,0.2491874322860238,,,,,,,285.0,-360.0,0.2491874322860238,7.5,7.5,,
5,IND,LV,,,,0.5324675324675325,,,,,,,-125.0,105.0,0.5324675324675325,-1.5,-1.5,,
5,JAX,KC,,,,0.355270821199767,,,,,,,170.0,-205.0,0.35527082119976705,4.5,4.5,,
5,KC,JAX,,,,0.644729178800233,,,,,,,-205.0,170.0,0.644729178800233,-4.5,-4.5,,
5,LAR,SF,,,,0.4675324675324675,,,,,,,105.0,-125.0,0.4675324675324675,1.5,1.5,,
5,LV,IND,,,,0.4675324675324675,,,,,,,105.0,-125.0,0.4675324675324675,1.5,1.5,,
5,MIA,CAR,,,,0.5324675324675325,,,,,,,-125.0,105.0,0.5324675324675325,-1.5,-1.5,,
5,MIN,CLE,,,,0.7388632872503841,,,,,,,-325.0,270.0,0.7388632872503841,-6.75,-6.75,,
5,NO,NYG,,,,0.4675324675324675,,,,,,,105.0,-125.0,0.4675324675324675,1.5,1.5,,
5,NYG,NO,,,,0.5324675324675325,,,,,,,-125.0,105.0,0.5324675324675325,-1.5,-1.5,,
5,NYJ,DAL,,,,0.448558885283451,,,,,,,114.0,-135.0,0.448558885283451,2.5,2.5,,
5,PHI,DEN,,,,0.6574752261956054,,,,,,,-218.0,180.0,0.6574752261956054,-4.5,-4.5,,
5,SEA,TB,,,,0.4675324675324675,,,,,,,105.0,-125.0,0.4675324675324675,1.5,1.5,,
5,TB,SEA,,,,0.5324675324675325,,,,,,,-125.0,105.0,0.5324675324675325,-1.5,-1.5,,
5,TEN,ARI,,,,0.3249687530045188,,,,,,,195.0,-238.0,0.3249687530045188,5.5,5.5,,
6,ARI,IND,,,,0.5324675324675325,,,,,,,-125.0,105.0,0.5324675324675325,-1.5,-1.5,,
6,ATL,BUF,,,,0.3249687530045188,,,,,,,195.0,-238.0,0.3249687530045188,5.5,5.5,,
6,BAL,LAR,,,,0.6805555555555556,,,,,,,-245.0,200.0,0.6805555555555556,-5.5,-5.5,,
6,BUF,ATL,,,,0.6750312469954812,,,,,,,-238.0,195.0,0.6750312469954812,-5.5,-5.5,,
6,CAR,DAL,,,,0.4675324675324675,,,,,,,105.0,-125.0,0.4675324675324675,1.5,1.5,,
6,CIN,GB,,,,0.4066302458405761,,,,,,,136.0,-162.0,0.4066302458405761,3.0,3.0,,
6,DAL,CAR,,,,0.5324675324675325,,,,,,,-125.0,105.0,0.5324675324675325,-1.5,-1.5,,
6,DEN,NYJ,,,,0.729871952289072,,,,,,,-285.0,265.0,0.729871952289072,-6.5,-6.5,,
6,DET,KC,,,,0.4170073589533933,,,,,,,130.0,-155.0,0.4170073589533933,2.75,2.75,,
