week,date,time,team,opponent,home_or_away,holiday_flag,rest_days,reserved,is_locked_out,expected_avail,preferred,must_use,save_for_later,notes_future,notes,spot_quality,projected_win_prob,team_tot_dvoa,opp_tot_dvoa,dvoa_gap,moneyline,spread,implied_wp,power_rating,opp_power_rating,power_gap,rest_diff,travel_miles,rating_gap,injury_adjustment,future_scarcity_bonus,opp_moneyline,consensus_spread,circa_spread,circa_spread_price,team_total_dvoa,opp_total_dvoa,sv_win,sv_home,sv_rest,sv_rating,sv_dvoa,sv_injury,sv_holiday,max_future_prob,future_depth_ge55,opportunity_delta,od_norm,fd_norm,future_scarcity_boost_raw,future_scarcity_boost,sv_scarcity,OD_norm,FD_norm
12,2025-11-23 00:00:00,4:05 PM,ARI,JAX,Home,,7,False,False,True,False,False,False,,,,0.593369754159424,,,,-162.0,-3.0,0.593369754159424,,,,,,,0.0,,,,,,,,0.4267196424137075,0.1,0.05,,0.0,0.0,0.0,0.6224665518611737,1,-0.0290967977017497,0.3418064045965004,0.6666666666666667,0.12,0.1,0.1,0.3418064045965004,0.6666666666666667
13,2025-11-30 00:00:00,1:00 PM,ARI,TB,Away,,6,False,False,True,False,False,False,,,,0.3775334481388264,,,,154.0,3.5,0.3775334481388264,,,,,,,0.0,,,,,,,,0.1127759245655656,0.0,0.0333333333333333,,0.0,0.0,0.0,0.6224665518611737,1,-0.2449331037223473,0.0,0.6666666666666667,0.12,0.1,0.1,0.0,0.6666666666666667
14,2025-12-07 00:00:00,4:25 PM,ARI,LAR,Home,,7,False,False,True,False,False,False,,,,0.3363518758085381,,,,185.0,4.5,0.3363518758085381,,,,,,,0.0,,,,,,,,0.0528754557215099,0.1,0.05,,0.0,0.0,0.0,0.6224665518611737,1,-0.2861146760526356,0.0,0.6666666666666667,0.12,0.1,0.1,0.0,0.6666666666666667
15,2025-12-14 00:00:00,1:00 PM,ARI,HOU,Away,,6,False,False,True,False,False,False,,,,0.448558885283451,,,,114.0,2.5,0.448558885283451,,,,,,,0.0,,,,,,,,0.2160856513213832,0.0,0.0333333333333333,,0.0,0.0,0.0,0.6224665518611737,1,-0.1739076665777227,0.0521846668445545,0.6666666666666667,0.12,0.1,0.1,0.0521846668445545,0.6666666666666667
16,2025-12-21 00:00:00,4:05 PM,ARI,ATL,Home,,7,False,False,True,False,False,False,,,,0.6224665518611737,,,,-185.0,-3.5,0.6224665518611737,,,,,,,0.0,,,,,,,,0.4690422572526163,0.1,0.05,,0.0,0.0,0.0,0.5,0,0.1224665518611737,0.6449331037223475,1.0,0.12,0.1,0.1,0.6449331037223475,1.0
17,2025-12-28 00:00:00,1:00 PM,ARI,CIN,Away,,6,False,False,True,False,False,False,,,,0.3775334481388264,,,,154.0,3.5,0.3775334481388264,,,,,,,0.0,,,,,,,,0.1127759245655656,0.0,0.0333333333333333,,0.0,0.0,0.0,0.5,0,-0.1224665518611736,0.1550668962776528,1.0,0.12,0.1,0.1,0.1550668962776528,1.0
18,2026-01-04 00:00:00,1:00 PM,ARI,LAR,Away,,7,False,False,True,False,False,False,,,,0.5,,,,,,,,,,,,,0.0,,,,,,,,0.2909090909090909,0.0,0.05,,0.0,0.0,0.0,0.0,0,0.5,1.0,1.0,0.12,0.1,0.1,1.0,1.0
1,09/07/2025,13:00:00,ATL,TB,Home,,7,False,False,True,False,False,False,,,,0.55,-3.0,-1.0,-2.0,195.0,5.5,0.3249687530045188,,,,,,1.5,0.0,0.01,,,,,,,0.3636363636363637,0.1,0.05,0.0244918662403709,-0.0079529273034527,0.0,0.0,0.6636481241914618,2,-0.1136481241914617,0.1727037516170765,0.3333333333333333,0.12,0.1,0.1,0.1727037516170765,0.3333333333333333
2,2025-09-14 00:00:00,8:20 PM,ATL,MIN,Away,,7,False,False,True,False,False,False,,,,0.3363518758085381,,,,185.0,4.5,0.3363518758085381,,,,,,,0.0,,,,,,,,0.0528754557215099,0.0,0.05,,0.0,0.0,0.0,0.6636481241914618,2,-0.3272962483829237,0.0,0.3333333333333333,0.12,0.1,0.1,0.0,0.3333333333333333
3,2025-09-21 00:00:00,1:00 PM,ATL,CAR,Away,,6,False,False,True,False,False,False,,,,0.5,,,,,,,,,,,,,0.0,,,,,,,,0.2909090909090909,0.0,0.0333333333333333,,0.0,0.0,0.0,0.6636481241914618,2,-0.1636481241914618,0.0727037516170764,0.3333333333333333,0.12,0.1,0.1,0.0727037516170764,0.3333333333333333
4,2025-09-28 00:00:00,1:00 PM,ATL,WSH,Home,,7,False,False,True,False,False,False,,,,0.5,,,,,,,,,,,,,0.0,,,,,,,,0.2909090909090909,0.1,0.05,,0.0,0.0,0.0,0.6636481241914618,2,-0.1636481241914618,0.0727037516170764,0.3333333333333333,0.12,0.1,0.1,0.0727037516170764,0.3333333333333333
6,2025-10-13 00:00:00,7:15 PM,ATL,BUF,Home,,14,False,False,True,False,False,False,,,,0.3249687530045188,,,,195.0,5.5,0.3249687530045188,,,,,,,0.0,,,,,,,,0.0363181861883909,0.1,0.1,,0.0,0.0,0.0,0.6636481241914618,2,-0.338679371186943,0.0,0.3333333333333333,0.12,0.1,0.1,0.0,0.3333333333333333
7,2025-10-19 00:00:00,8:20 PM,ATL,SF,Away,,6,False,False,True,False,False,False,,,,0.2904564315352697,,,,230.0,6.5,0.2904564315352697,,,,,,,0.0,,,,,,,,0.0,0.0,0.0333333333333333,,0.0,0.0,0.0,0.6636481241914618,2,-0.3731916926561921,0.0,0.3333333333333333,0.12,0.1,0.1,0.0,0.3333333333333333
8,2025-10-26 00:00:00,1:00 PM,ATL,MIA,Home,,6,False,False,True,False,False,False,,,,0.5324675324675325,,,,-125.0,-1.5,0.5324675324675325,,,,,,,0.0,,,,,,,,0.3381345926800473,0.1,0.0333333333333333,,0.0,0.0,0.0,0.6636481241914618,2,-0.1311805917239292,0.1376388165521415,0.3333333333333333,0.12,0.1,0.1,0.1376388165521415,0.3333333333333333
9,2025-11-02 00:00:00,1:00 PM,ATL,NE,Away,,7,False,False,True,False,False,False,,,,0.4003612281757977,,,,140.0,3.0,0.4003612281757977,,,,,,,0.0,,,,,,,,0.1459799682557057,0.0,0.05,,0.0,0.0,0.0,0.6636481241914618,2,-0.2632868960156641,0.0,0.3333333333333333,0.12,0.1,0.1,0.0,0.3333333333333333
10,2025-11-09 00:00:00,9:30 AM,ATL,IND,Away,,6,False,False,True,False,False,False,,,,0.5168539325842696,,,,-115.0,-1.5,0.5168539325842696,,,,,,,0.0,,,,,,,,0.3154239019407558,0.0,0.0333333333333333,,0.0,0.0,0.0,0.6636481241914618,2,-0.1467941916071922,0.1064116167856156,0.3333333333333333,0.12,0.1,0.1,0.1064116167856156,0.3333333333333333
11,2025-11-16 00:00:00,1:00 PM,ATL,CAR,Home,,7,False,False,True,False,False,False,,,,0.5996387718242023,,,,-166.0,-3.0,0.5996387718242023,,,,,,,0.0,,,,,,,,0.4358382135624761,0.1,0.05,,0.0,0.0,0.0,0.6636481241914618,1,-0.0640093523672594,0.2719812952654811,0.6666666666666667,0.12,0.1,0.1,0.2719812952654811,0.6666666666666667
12,2025-11-23 00:00:00,4:25 PM,ATL,NO,Away,,7,False,False,True,False,False,False,,,,0.5,,,,,,,,,,,,,0.0,,,,,,,,0.2909090909090909,0.0,0.05,,0.0,0.0,0.0,0.6636481241914618,1,-0.1636481241914618,0.0727037516170764,0.6666666666666667,0.12,0.1,0.1,0.0727037516170764,0.6666666666666667
13,2025-11-30 00:00:00,1:00 PM,ATL,NYJ,Away,,6,False,False,True,False,False,False,,,,0.5324675324675325,,,,-125.0,-1.5,0.5324675324675325,,,,,,,0.0,,,,,,,,0.3381345926800473,0.0,0.0333333333333333,,0.0,0.0,0.0,0.6636481241914618,1,-0.1311805917239292,0.1376388165521415,0.6666666666666667,0.12,0.1,0.1,0.1376388165521415,0.6666666666666667
14,2025-12-07 00:00:00,1:00 PM,ATL,SEA,Home,,7,False,False,True,False,False,False,,,,0.5324675324675325,,,,-125.0,-1.5,0.5324675324675325,,,,,,,0.0,,,,,,,,0.3381345926800473,0.1,0.05,,0.0,0.0,0.0,0.6636481241914618,1,-0.1311805917239292,0.1376388165521415,0.6666666666666667,0.12,0.1,0.1,0.1376388165521415,0.6666666666666667
15,2025-12-11 00:00:00,8:15 PM,ATL,TB,Away,,4,False,False,True,False,False,False,,,,0.5,,,,,,,,,,,,,0.0,,,,,,,,0.2909090909090909,0.0,0.0,,0.0,0.0,0.0,0.6636481241914618,1,-0.1636481241914618,0.0727037516170764,0.6666666666666667,0.12,0.1,0.1,0.0727037516170764,0.6666666666666667
16,2025-12-21 00:00:00,4:05 PM,ATL,ARI,Away,,9,False,False,True,False,False,False,,,,0.3775334481388264,,,,154.0,3.5,0.3775334481388264,,,,,,,0.0,,,,,,,,0.1127759245655656,0.0,0.0833333333333333,,0.0,0.0,0.0,0.6636481241914618,1,-0.2861146760526354,0.0,0.6666666666666667,0.12,0.1,0.1,0.0,0.6666666666666667
17,2025-12-29 00:00:00,8:15 PM,ATL,LAR,Home,,8,False,False,True,False,False,False,,,,0.4003612281757977,,,,140.0,3.0,0.4003612281757977,,,,,,,0.0,,,,,,,,0.1459799682557057,0.1,0.0666666666666666,,0.0,0.0,0.0,0.6636481241914618,1,-0.2632868960156641,0.0,0.6666666666666667,0.12,0.1,0.1,0.0,0.6666666666666667
18,2026-01-04 00:00:00,1:00 PM,ATL,NO,Home,,5,False,False,True,False,False,False,,,,0.6636481241914618,,,,-225.0,-4.5,0.6636481241914618,,,,,,,0.0,,,,,,,,0.5289427260966717,0.1,0.0166666666666666,,0.0,0.0,0.0,0.0,0,0.6636481241914618,1.0,1.0,0.12,0.1,0.1,1.0,1.0
1,2025-09-07 00:00:00,8:20 PM,BAL,BUF,Away,,7,False,False,True,False,False,False,,,,0.4759806081974437,,,,105.0,1.5,0.4759806081974437,,,,,,,0.0,,,,,,,,0.2559717937417363,0.0,0.05,,0.0,0.0,0.0,0.8223350253807106,11,-0.3463544171832668,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2025-09-14 00:00:00,1:00 PM,BAL,CLE,Home,,6,False,False,True,False,False,False,,,,0.7600000000000001,,,,-380.0,-8.5,0.7600000000000001,,,,,,,0.0,,,,,,,,0.6690909090909093,0.1,0.0333333333333333,,0.0,0.0,0.0,0.8223350253807106,10,-0.0623350253807104,0.2753299492385791,0.0,0.12,0.1,0.1,0.2753299492385791,0.0
3,2025-09-22 00:00:00,8:15 PM,BAL,DET,Home,,8,False,False,True,False,False,False,,,,0.6309403437815976,,,,-192.0,-3.5,0.6309403437815976,,,,,,,0.0,,,,,,,,0.4813677727732328,0.1,0.0666666666666666,,0.0,0.0,0.0,0.8223350253807106,9,-0.191394681599113,0.017210636801774,0.0,0.0103263820810644,0.008605318400887,0.008605318400887,0.017210636801774,0.0
