week,date,team,opponent,home_or_away,time,rest_days,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,spot_value_score
1,,ARI,NO,Away,,0,False,False,False,,,,,False,False,False,,
2,2025-09-14 00:00:00,ARI,CAR,Home,4:05 PM,0,False,False,False,,,,,False,False,False,,
3,,ARI,SF,Away,,0,False,False,False,,,,,False,False,False,,
4,2025-09-25 00:00:00,ARI,SEA,Home,8:15 PM,0,False,False,False,,,,,False,False,False,,
5,2025-10-05 00:00:00,ARI,TEN,Home,4:05 PM,0,False,False,False,,,,,False,False,False,,
6,,ARI,IND,Away,,0,False,False,False,,,,,False,False,False,,
7,2025-10-19 00:00:00,ARI,GB,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
8,,ARI,BYE,Home,,0,False,False,False,,,,,False,False,False,,
9,,ARI,DAL,Away,,0,False,False,False,,,,,False,False,False,,
10,,ARI,SEA,Away,,0,False,False,False,,,,,False,False,False,,
11,2025-11-16 00:00:00,ARI,SF,Home,4:05 PM,0,False,False,False,,,,,False,False,False,,
12,2025-11-23 00:00:00,ARI,JAX,Home,4:05 PM,0,False,False,False,,,,,False,False,False,,
13,,ARI,TB,Away,,0,False,False,False,,,,,False,False,False,,
14,2025-12-07 00:00:00,ARI,LAR,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
15,,ARI,HOU,Away,,0,False,False,False,,,,,False,False,False,,
16,2025-12-21 00:00:00,ARI,ATL,Home,4:05 PM,0,False,False,False,,,,,False,False,False,,
17,,ARI,CIN,Away,,0,False,False,False,,,,,False,False,False,,
18,,ARI,LAR,Away,,0,False,False,False,,,,,False,False,False,,
1,2025-09-07 00:00:00,ATL,TB,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
2,,ATL,MIN,Away,,0,False,False,False,,,,,False,False,False,,
3,,ATL,CAR,Away,,0,False,False,False,,,,,False,False,False,,
4,2025-09-28 00:00:00,ATL,WSH,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
5,,ATL,BYE,Home,,0,False,False,False,,,,,False,False,False,,
6,2025-10-13 00:00:00,ATL,BUF,Home,7:15 PM,0,False,False,False,,,,,False,False,False,,
7,,ATL,SF,Away,,0,False,False,False,,,,,False,False,False,,
8,2025-10-26 00:00:00,ATL,MIA,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
9,,ATL,NE,Away,,0,False,False,False,,,,,False,False,False,,
10,,ATL,IND,Away,,0,False,False,False,,,,,False,False,False,,
11,2025-11-16 00:00:00,ATL,CAR,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
12,,ATL,NO,Away,,0,False,False,False,,,,,False,False,False,,
13,,ATL,NYJ,Away,,0,False,False,False,,,,,False,False,False,,
14,2025-12-07 00:00:00,ATL,SEA,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
15,,ATL,TB,Away,,0,False,False,False,,,,,False,False,False,,
16,,ATL,ARI,Away,,0,False,False,False,,,,,False,False,False,,
17,2025-12-29 00:00:00,ATL,LAR,Home,8:15 PM,0,False,False,False,,,,,False,False,False,,
18,2026-01-04 00:00:00,ATL,NO,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
1,,BAL,BUF,Away,,0,False,False,False,,,,,False,False,False,,
2,2025-09-14 00:00:00,BAL,CLE,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
3,2025-09-22 00:00:00,BAL,DET,Home,8:15 PM,0,False,False,False,,,,,False,False,False,,
4,,BAL,KC,Away,,0,False,False,False,,,,,False,False,False,,
5,2025-10-05 00:00:00,BAL,HOU,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
6,2025-10-12 00:00:00,BAL,LAR,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
7,,BAL,BYE,Home,,0,False,False,False,,,,,False,False,False,,
8,2025-10-26 00:00:00,BAL,CHI,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
9,,BAL,MIA,Away,,0,False,False,False,,,,,False,False,False,,
10,,BAL,MIN,Away,,0,False,False,False,,,,,False,False,False,,
11,,BAL,CLE,Away,,0,False,False,False,,,,,False,False,False,,
12,2025-11-23 00:00:00,BAL,NYJ,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
13,2025-11-27 00:00:00,BAL,CIN,Home,8:20 PM,0,False,False,False,,,,,False,False,False,,
14,2025-12-07 00:00:00,BAL,PIT,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
15,,BAL,CIN,Away,,0,False,False,False,,,,,False,False,False,,
16,2025-12-21 00:00:00,BAL,NE,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
17,,BAL,GB,Away,,0,False,False,False,,,,,False,False,False,,
18,,BAL,PIT,Away,,0,False,False,False,,,,,False,False,False,,
1,2025-09-07 00:00:00,BUF,BAL,Home,8:20 PM,0,False,False,False,,,,,False,False,False,,
2,,BUF,NYJ,Away,,0,False,False,False,,,,,False,False,False,,
