week,date,team,opponent,home_or_away,time,rest_days,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,spot_value_score
1,,ARI,NO,Away,,0,False,False,False,,,,,False,False,False,,
2,,ARI,CAR,Home,,0,False,False,False,,,,,False,False,False,,
3,,ARI,SF,Away,,0,False,False,False,,,,,False,False,False,,
4,,ARI,SEA,Home,,0,False,False,False,,,,,False,False,False,,
5,,ARI,TEN,Home,,0,False,False,False,,,,,False,False,False,,
6,,ARI,IND,Away,,0,False,False,False,,,,,False,False,False,,
7,,ARI,GB,Home,,0,False,False,False,,,,,False,False,False,,
8,,ARI,BYE,Home,,0,False,False,False,,,,,False,False,False,,
9,,ARI,DAL,Away,,0,False,False,False,,,,,False,False,False,,
10,,ARI,SEA,Away,,0,False,False,False,,,,,False,False,False,,
11,,ARI,SF,Home,,0,False,False,False,,,,,False,False,False,,
12,,ARI,JAX,Home,,0,False,False,False,,,,,False,False,False,,
13,,ARI,TB,Away,,0,False,False,False,,,,,False,False,False,,
14,,ARI,LAR,Home,,0,False,False,False,,,,,False,False,False,,
15,,ARI,HOU,Away,,0,False,False,False,,,,,False,False,False,,
16,,ARI,ATL,Home,,0,False,False,False,,,,,False,False,False,,
17,,ARI,CIN,Away,,0,False,False,False,,,,,False,False,False,,
18,,ARI,LAR,Away,,0,False,False,False,,,,,False,False,False,,
1,,ATL,TB,Home,,0,False,False,False,,,,,False,False,False,,
2,,ATL,MIN,Away,,0,False,False,False,,,,,False,False,False,,
3,,ATL,CAR,Away,,0,False,False,False,,,,,False,False,False,,
4,,ATL,WSH,Home,,0,False,False,False,,,,,False,False,False,,
5,,ATL,BYE,Home,,0,False,False,False,,,,,False,False,False,,
6,,ATL,BUF,Home,,0,False,False,False,,,,,False,False,False,,
7,,ATL,SF,Away,,0,False,False,False,,,,,False,False,False,,
8,,ATL,MIA,Home,,0,False,False,False,,,,,False,False,False,,
9,,ATL,NE,Away,,0,False,False,False,,,,,False,False,False,,
10,,ATL,IND,Away,,0,False,False,False,,,,,False,False,False,,
11,,ATL,CAR,Home,,0,False,False,False,,,,,False,False,False,,
12,,ATL,NO,Away,,0,False,False,False,,,,,False,False,False,,
13,,ATL,NYJ,Away,,0,False,False,False,,,,,False,False,False,,
14,,ATL,SEA,Home,,0,False,False,False,,,,,False,False,False,,
15,,ATL,TB,Away,,0,False,False,False,,,,,False,False,False,,
16,,ATL,ARI,Away,,0,False,False,False,,,,,False,False,False,,
17,,ATL,LAR,Home,,0,False,False,False,,,,,False,False,False,,
18,,ATL,NO,Home,,0,False,False,False,,,,,False,False,False,,
1,,BAL,BUF,Away,,0,False,False,False,,,,,False,False,False,,
2,,BAL,CLE,Home,,0,False,False,False,,,,,False,False,False,,
3,,BAL,DET,Home,,0,False,False,False,,,,,False,False,False,,
4,,BAL,KC,Away,,0,False,False,False,,,,,False,False,False,,
5,,BAL,HOU,Home,,0,False,False,False,,,,,False,False,False,,
6,,BAL,LAR,Home,,0,False,False,False,,,,,False,False,False,,
7,,BAL,BYE,Home,,0,False,False,False,,,,,False,False,False,,
8,,BAL,CHI,Home,,0,False,False,False,,,,,False,False,False,,
9,,BAL,MIA,Away,,0,False,False,False,,,,,False,False,False,,
10,,BAL,MIN,Away,,0,False,False,False,,,,,False,False,False,,
11,,BAL,CLE,Away,,0,False,False,False,,,,,False,False,False,,
12,,BAL,NYJ,Home,,0,False,False,False,,,,,False,False,False,,
13,,BAL,CIN,Home,,0,False,False,False,,,,,False,False,False,,
14,,BAL,PIT,Home,,0,False,False,False,,,,,False,False,False,,
15,,BAL,CIN,Away,,0,False,False,False,,,,,False,False,False,,
16,,BAL,NE,Home,,0,False,False,False,,,,,False,False,False,,
17,,BAL,GB,Away,,0,False,False,False,,,,,False,False,False,,
18,,BAL,PIT,Away,,0,False,False,False,,,,,False,False,False,,
1,,BUF,BAL,Home,,0,False,False,False,,,,,False,False,False,,
2,,BUF,NYJ,Away,,0,False,False,False,,,,,False,False,False,,
3,,BUF,MIA,Home,,0,False,False,False,,,,,False,False,False,,
4,,BUF,NO,Home,,0,False,False,False,,,,,False,False,False,,
5,,BUF,NE,Home,,0,False,False,False,,,,,False,False,False,,
6,,BUF,ATL,Away,,0,False,False,False,,,,,False,False,False,,
7,,BUF,BYE,Home,,0,False,False,False,,,,,False,False,False,,
8,,BUF,CAR,Away,,0,False,False,False,,,,,False,False,False,,
9,,BUF,KC,Home,,0,False,False,False,,,,,False,False,False,,
10,,BUF,MIA,Away,,0,False,False,False,,,,,False,False,False,,
11,,BUF,TB,Home,,0,False,False,False,,,,,False,False,False,,
12,,BUF,HOU,Away,,0,False,False,False,,,,,False,False,False,,
13,,BUF,PIT,Away,,0,False,False,False,,,,,False,False,False,,
14,,BUF,CIN,Home,,0,False,False,False,,,,,False,False,False,,
15,,BUF,NE,Away,,0,False,False,False,,,,,False,False,False,,
16,,BUF,CLE,Away,,0,False,False,False,,,,,False,False,False,,
17,,BUF,PHI,Home,,0,False,False,False,,,,,False,False,False,,
18,,BUF,NYJ,Home,,0,False,False,False,,,,,False,False,False,,
1,,CAR,JAX,Away,,0,False,False,False,,,,,False,False,False,,
2,,CAR,ARI,Away,,0,False,False,False,,,,,False,False,False,,
3,,CAR,ATL,Home,,0,False,False,False,,,,,False,False,False,,
4,,CAR,NE,Away,,0,False,False,False,,,,,False,False,False,,
5,,CAR,MIA,Home,,0,False,False,False,,,,,False,False,False,,
6,,CAR,DAL,Home,,0,False,False,False,,,,,False,False,False,,
7,,CAR,NYJ,Away,,0,False,False,False,,,,,False,False,False,,
8,,CAR,BUF,Home,,0,False,False,False,,,,,False,False,False,,
9,,CAR,GB,Away,,0,False,False,False,,,,,False,False,False,,
10,,CAR,NO,Home,,0,False,False,False,,,,,False,False,False,,
11,,CAR,ATL,Away,,0,False,False,False,,,,,False,False,False,,
12,,CAR,SF,Away,,0,False,False,False,,,,,False,False,False,,
13,,CAR,LAR,Home,,0,False,False,False,,,,,False,False,False,,
14,,CAR,BYE,Home,,0,False,False,False,,,,,False,False,False,,
15,,CAR,NO,Away,,0,False,False,False,,,,,False,False,False,,
16,,CAR,TB,Home,,0,False,False,False,,,,,False,False,False,,
17,,CAR,SEA,Home,,0,False,False,False,,,,,False,False,False,,
18,,CAR,TB,Away,,0,False,False,False,,,,,False,False,False,,
1,,CHI,MIN,Home,,0,False,False,False,,,,,False,False,False,,
2,,CHI,DET,Away,,0,False,False,False,,,,,False,False,False,,
3,,CHI,DAL,Home,,0,False,False,False,,,,,False,False,False,,
4,,CHI,LV,Away,,0,False,False,False,,,,,False,False,False,,
5,,CHI,BYE,Home,,0,False,False,False,,,,,False,False,False,,
6,,CHI,WSH,Away,,0,False,False,False,,,,,False,False,False,,
7,,CHI,NO,Home,,0,False,False,False,,,,,False,False,False,,
8,,CHI,BAL,Away,,0,False,False,False,,,,,False,False,False,,
9,,CHI,CIN,Away,,0,False,False,False,,,,,False,False,False,,
10,,CHI,NYG,Home,,0,False,False,False,,,,,False,False,False,,
11,,CHI,MIN,Away,,0,False,False,False,,,,,False,False,False,,
12,,CHI,PIT,Home,,0,False,False,False,,,,,False,False,False,,
13,,CHI,PHI,Away,,0,False,False,False,,,,,False,False,False,,
14,,CHI,GB,Away,,0,False,False,False,,,,,False,False,False,,
15,,CHI,CLE,Home,,0,False,False,False,,,,,False,False,False,,
16,,CHI,GB,Home,,0,False,False,False,,,,,False,False,False,,
17,,CHI,SF,Away,,0,False,False,False,,,,,False,False,False,,
18,,CHI,DET,Home,,0,False,False,False,,,,,False,False,False,,
1,,CIN,CLE,Away,,0,False,False,False,,,,,False,False,False,,
2,,CIN,JAX,Home,,0,False,False,False,,,,,False,False,False,,
3,,CIN,MIN,Away,,0,False,False,False,,,,,False,False,False,,
4,,CIN,DEN,Away,,0,False,False,False,,,,,False,False,False,,
5,,CIN,DET,Home,,0,False,False,False,,,,,False,False,False,,
6,,CIN,GB,Away,,0,False,False,False,,,,,False,False,False,,
7,,CIN,PIT,Home,,0,False,False,False,,,,,False,False,False,,
8,,CIN,NYJ,Home,,0,False,False,False,,,,,False,False,False,,
9,,CIN,CHI,Home,,0,False,False,False,,,,,False,False,False,,
10,,CIN,BYE,Home,,0,False,False,False,,,,,False,False,False,,
11,,CIN,PIT,Away,,0,False,False,False,,,,,False,False,False,,
12,,CIN,NE,Home,,0,False,False,False,,,,,False,False,False,,
13,,CIN,BAL,Away,,0,False,False,False,,,,,False,False,False,,
14,,CIN,BUF,Away,,0,False,False,False,,,,,False,False,False,,
15,,CIN,BAL,Home,,0,False,False,False,,,,,False,False,False,,
16,,CIN,MIA,Away,,0,False,False,False,,,,,False,False,False,,
17,,CIN,ARI,Home,,0,False,False,False,,,,,False,False,False,,
18,,CIN,CLE,Home,,0,False,False,False,,,,,False,False,False,,
1,,CLE,CIN,Home,,0,False,False,False,,,,,False,False,False,,
2,,CLE,BAL,Away,,0,False,False,False,,,,,False,False,False,,
3,,CLE,GB,Home,,0,False,False,False,,,,,False,False,False,,
4,,CLE,DET,Away,,0,False,False,False,,,,,False,False,False,,
5,,CLE,MIN,Home,,0,False,False,False,,,,,False,False,False,,
6,,CLE,PIT,Away,,0,False,False,False,,,,,False,False,False,,
7,,CLE,MIA,Home,,0,False,False,False,,,,,False,False,False,,
8,,CLE,NE,Away,,0,False,False,False,,,,,False,False,False,,
9,,CLE,BYE,Home,,0,False,False,False,,,,,False,False,False,,
10,,CLE,NYJ,Away,,0,False,False,False,,,,,False,False,False,,
11,,CLE,BAL,Home,,0,False,False,False,,,,,False,False,False,,
12,,CLE,LV,Away,,0,False,False,False,,,,,False,False,False,,
13,,CLE,SF,Home,,0,False,False,False,,,,,False,False,False,,
14,,CLE,TEN,Home,,0,False,False,False,,,,,False,False,False,,
15,,CLE,CHI,Away,,0,False,False,False,,,,,False,False,False,,
16,,CLE,BUF,Home,,0,False,False,False,,,,,False,False,False,,
17,,CLE,PIT,Home,,0,False,False,False,,,,,False,False,False,,
18,,CLE,CIN,Away,,0,False,False,False,,,,,False,False,False,,
1,,DAL,PHI,Away,,0,False,False,False,,,,,False,False,False,,
2,,DAL,NYG,Home,,0,False,False,False,,,,,False,False,False,,
3,,DAL,CHI,Away,,0,False,False,False,,,,,False,False,False,,
4,,DAL,GB,Home,,0,False,False,False,,,,,False,False,False,,
5,,DAL,NYJ,Away,,0,False,False,False,,,,,False,False,False,,
6,,DAL,CAR,Away,,0,False,False,False,,,,,False,False,False,,
7,,DAL,WSH,Home,,0,False,False,False,,,,,False,False,False,,
8,,DAL,DEN,Away,,0,False,False,False,,,,,False,False,False,,
9,,DAL,ARI,Home,,0,False,False,False,,,,,False,False,False,,
10,,DAL,BYE,Home,,0,False,False,False,,,,,False,False,False,,
11,,DAL,LV,Away,,0,False,False,False,,,,,False,False,False,,
12,,DAL,PHI,Home,,0,False,False,False,,,,,False,False,False,,
13,,DAL,KC,Home,,0,False,False,False,,,,,False,False,False,,
14,,DAL,DET,Away,,0,False,False,False,,,,,False,False,False,,
15,,DAL,MIN,Home,,0,False,False,False,,,,,False,False,False,,
16,,DAL,LAC,Home,,0,False,False,False,,,,,False,False,False,,
17,,DAL,WSH,Away,,0,False,False,False,,,,,False,False,False,,
18,,DAL,NYG,Away,,0,False,False,False,,,,,False,False,False,,
1,,DEN,TEN,Home,,0,False,False,False,,,,,False,False,False,,
2,,DEN,IND,Away,,0,False,False,False,,,,,False,False,False,,
3,,DEN,LAC,Away,,0,False,False,False,,,,,False,False,False,,
4,,DEN,CIN,Home,,0,False,False,False,,,,,False,False,False,,
5,,DEN,PHI,Away,,0,False,False,False,,,,,False,False,False,,
6,,DEN,NYJ,Away,,0,False,False,False,,,,,False,False,False,,
7,,DEN,NYG,Home,,0,False,False,False,,,,,False,False,False,,
8,,DEN,DAL,Home,,0,False,False,False,,,,,False,False,False,,
9,,DEN,HOU,Away,,0,False,False,False,,,,,False,False,False,,
10,,DEN,LV,Home,,0,False,False,False,,,,,False,False,False,,
11,,DEN,KC,Home,,0,False,False,False,,,,,False,False,False,,
12,,DEN,BYE,Home,,0,False,False,False,,,,,False,False,False,,
13,,DEN,WSH,Away,,0,False,False,False,,,,,False,False,False,,
14,,DEN,LV,Away,,0,False,False,False,,,,,False,False,False,,
15,,DEN,GB,Home,,0,False,False,False,,,,,False,False,False,,
16,,DEN,JAX,Home,,0,False,False,False,,,,,False,False,False,,
17,,DEN,KC,Away,,0,False,False,False,,,,,False,False,False,,
18,,DEN,LAC,Home,,0,False,False,False,,,,,False,False,False,,
1,,DET,GB,Away,,0,False,False,False,,,,,False,False,False,,
2,,DET,CHI,Home,,0,False,False,False,,,,,False,False,False,,
3,,DET,BAL,Away,,0,False,False,False,,,,,False,False,False,,
4,,DET,CLE,Home,,0,False,False,False,,,,,False,False,False,,
5,,DET,CIN,Away,,0,False,False,False,,,,,False,False,False,,
6,,DET,KC,Away,,0,False,False,False,,,,,False,False,False,,
7,,DET,TB,Home,,0,False,False,False,,,,,False,False,False,,
8,,DET,BYE,Home,,0,False,False,False,,,,,False,False,False,,
9,,DET,MIN,Home,,0,False,False,False,,,,,False,False,False,,
10,,DET,WSH,Away,,0,False,False,False,,,,,False,False,False,,
11,,DET,PHI,Away,,0,False,False,False,,,,,False,False,False,,
12,,DET,NYG,Home,,0,False,False,False,,,,,False,False,False,,
13,,DET,GB,Home,,0,False,False,False,,,,,False,False,False,,
14,,DET,DAL,Home,,0,False,False,False,,,,,False,False,False,,
15,,DET,LAR,Away,,0,False,False,False,,,,,False,False,False,,
16,,DET,PIT,Home,,0,False,False,False,,,,,False,False,False,,
17,,DET,MIN,Away,,0,False,False,False,,,,,False,False,False,,
18,,DET,CHI,Away,,0,False,False,False,,,,,False,False,False,,
1,,GB,DET,Home,,0,False,False,False,,,,,False,False,False,,
2,,GB,WSH,Home,,0,False,False,False,,,,,False,False,False,,
3,,GB,CLE,Away,,0,False,False,False,,,,,False,False,False,,
4,,GB,DAL,Away,,0,False,False,False,,,,,False,False,False,,
5,,GB,BYE,Home,,0,False,False,False,,,,,False,False,False,,
6,,GB,CIN,Home,,0,False,False,False,,,,,False,False,False,,
7,,GB,ARI,Away,,0,False,False,False,,,,,False,False,False,,
8,,GB,PIT,Away,,0,False,False,False,,,,,False,False,False,,
9,,GB,CAR,Home,,0,False,False,False,,,,,False,False,False,,
10,,GB,PHI,Home,,0,False,False,False,,,,,False,False,False,,
11,,GB,NYG,Away,,0,False,False,False,,,,,False,False,False,,
12,,GB,MIN,Home,,0,False,False,False,,,,,False,False,False,,
13,,GB,DET,Away,,0,False,False,False,,,,,False,False,False,,
14,,GB,CHI,Home,,0,False,False,False,,,,,False,False,False,,
15,,GB,DEN,Away,,0,False,False,False,,,,,False,False,False,,
16,,GB,CHI,Away,,0,False,False,False,,,,,False,False,False,,
