week,team,opponent,home_or_away,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,holiday_flag,spot_value_score,scarcity_boost
8,CIN,NYJ,Home,,,,,,,,,,,,,,
9,CIN,CHI,Home,,,,,,,,,,,,,,
10,CIN,BYE,Home,,,,,,,,,,,,,,
11,CIN,PIT,Away,,,,,,,,,,,,,,
12,CIN,NE,Home,,,,,,,,,,,,,,
13,CIN,BAL,Away,,,,,,,,,,,,Thanksgiving,,
14,CIN,BUF,Away,,,,,,,,,,,,,,
15,CIN,BAL,Home,,,,,,,,,,,,,,
16,CIN,MIA,Away,,,,,,,,,,,,,,
17,CIN,ARI,Home,,,,,,,,,,,,,,
18,CIN,CLE,Home,,,,,,,,,,,,,,
1,CLE,CIN,Home,,,,,,,,,,,,,,
2,CLE,BAL,Away,,,,,,,,,,,,,,
3,CLE,GB,Home,,,,,,,,,,,,,,
4,CLE,DET,Away,,,,,,,,,,,,,,
5,CLE,MIN,Home,,,,,,,,,,,,,,
6,CLE,PIT,Away,,,,,,,,,,,,,,
7,CLE,MIA,Home,,,,,,,,,,,,,,
8,CLE,NE,Away,,,,,,,,,,,,,,
9,CLE,BYE,Home,,,,,,,,,,,,,,
10,CLE,NYJ,Away,,,,,,,,,,,,,,
11,CLE,BAL,Home,,,,,,,,,,,,,,
12,CLE,LV,Away,,,,,,,,,,,,,,
13,CLE,SF,Home,,,,,,,,,,,,,,
14,CLE,TEN,Home,,,,,,,,,,,,,,
15,CLE,CHI,Away,,,,,,,,,,,,,,
16,CLE,BUF,Home,,,,,,,,,,,,,,
17,CLE,PIT,Home,,,,,,,,,,,,,,
18,CLE,CIN,Away,,,,,,,,,,,,,,
1,DAL,PHI,Away,,,,,,,,,,,,,,
2,DAL,NYG,Home,,,,,,,,,,,,,,
3,DAL,CHI,Away,,,,,,,,,,,,,,
4,DAL,GB,Home,,,,,,,,,,,,,,
5,DAL,NYJ,Away,,,,,,,,,,,,,,
6,DAL,CAR,Away,,,,,,,,,,,,,,
7,DAL,WSH,Home,,,,,,,,,,,,,,
8,DAL,DEN,Away,,,,,,,,,,,,,,
9,DAL,ARI,Home,,,,,,,,,,,,,,
10,DAL,BYE,Home,,,,,,,,,,,,,,
11,DAL,LV,Away,,,,,,,,,,,,,,
12,DAL,PHI,Home,,,,,,,,,,,,,,
13,DAL,KC,Home,,,,,,,,,,,,Thanksgiving,,
14,DAL,DET,Away,,,,,,,,,,,,,,
15,DAL,MIN,Home,,,,,,,,,,,,,,
16,DAL,LAC,Home,,,,,,,,,,,,,,
17,DAL,WSH,Away,,,,,,,,,,,,Christmas,,
18,DAL,NYG,Away,,,,,,,,,,,,,,
1,DEN,TEN,Home,,,,,,,,,,,,,,
2,DEN,IND,Away,,,,,,,,,,,,,,
3,DEN,LAC,Away,,,,,,,,,,,,,,
4,DEN,CIN,Home,,,,,,,,,,,,,,
5,DEN,PHI,Away,,,,,,,,,,,,,,
6,DEN,NYJ,Away,,,,,,,,,,,,,,
7,DEN,NYG,Home,,,,,,,,,,,,,,
8,DEN,DAL,Home,,,,,,,,,,,,,,
9,DEN,HOU,Away,,,,,,,,,,,,,,
10,DEN,LV,Home,,,,,,,,,,,,,,
11,DEN,KC,Home,,,,,,,,,,,,,,
12,DEN,BYE,Home,,,,,,,,,,,,,,
13,DEN,WSH,Away,,,,,,,,,,,,,,
14,DEN,LV,Away,,,,,,,,,,,,,,
15,DEN,GB,Home,,,,,,,,,,,,,,
16,DEN,JAX,Home,,,,,,,,,,,,,,
17,DEN,KC,Away,,,,,,,,,,,,Christmas,,
18,DEN,LAC,Home,,,,,,,,,,,,,,
1,DET,GB,Away,,,,,,,,,,,,,,
2,DET,CHI,Home,,,,,,,,,,,,,,
3,DET,BAL,Away,,,,,,,,,,,,,,
4,DET,CLE,Home,,,,,,,,,,,,,,
5,DET,CIN,Away,,,,,,,,,,,,,,
6,DET,KC,Away,,,,,,,,,,,,,,
7,DET,TB,Home,,,,,,,,,,,,,,
8,DET,BYE,Home,,,,,,,,,,,,,,
9,DET,MIN,Home,,,,,,,,,,,,,,
10,DET,WSH,Away,,,,,,,,,,,,,,
11,DET,PHI,Away,,,,,,,,,,,,,,
12,DET,NYG,Home,,,,,,,,,,,,,,
13,DET,GB,Home,,,,,,,,,,,,Thanksgiving,,
14,DET,DAL,Home,,,,,,,,,,,,,,
15,DET,LAR,Away,,,,,,,,,,,,,,
16,DET,PIT,Home,,,,,,,,,,,,,,
17,DET,MIN,Away,,,,,,,,,,,,Christmas,,
18,DET,CHI,Away,,,,,,,,,,,,,,
1,GB,DET,Home,,,,,,,,,,,,,,
2,GB,WSH,Home,,,,,,,,,,,,,,
3,GB,CLE,Away,,,,,,,,,,,,,,
4,GB,DAL,Away,,,,,,,,,,,,,,
5,GB,BYE,Home,,,,,,,,,,,,,,
6,GB,CIN,Home,,,,,,,,,,,,,,
7,GB,ARI,Away,,,,,,,,,,,,,,
8,GB,PIT,Away,,,,,,,,,,,,,,
9,GB,CAR,Home,,,,,,,,,,,,,,
10,GB,PHI,Home,,,,,,,,,,,,,,
11,GB,NYG,Away,,,,,,,,,,,,,,
12,GB,MIN,Home,,,,,,,,,,,,,,
13,GB,DET,Away,,,,,,,,,,,,Thanksgiving,,
14,GB,CHI,Home,,,,,,,,,,,,,,
15,GB,DEN,Away,,,,,,,,,,,,,,
16,GB,CHI,Away,,,,,,,,,,,,,,
17,GB,BAL,Home,,,,,,,,,,,,,,
18,GB,MIN,Away,,,,,,,,,,,,,,
1,HOU,LAR,Away,,,,,,,,,,,,,,
2,HOU,TB,Home,,,,,,,,,,,,,,
3,HOU,JAX,Away,,,,,,,,,,,,,,
4,HOU,TEN,Home,,,,,,,,,,,,,,
5,HOU,BAL,Away,,,,,,,,,,,,,,
6,HOU,BYE,Home,,,,,,,,,,,,,,
7,HOU,SEA,Away,,,,,,,,,,,,,,
8,HOU,SF,Home,,,,,,,,,,,,,,
9,HOU,DEN,Home,,,,,,,,,,,,,,
10,HOU,JAX,Home,,,,,,,,,,,,,,
11,HOU,TEN,Away,,,,,,,,,,,,,,
12,HOU,BUF,Home,,,,,,,,,,,,,,
13,HOU,IND,Away,,,,,,,,,,,,,,
14,HOU,KC,Away,,,,,,,,,,,,,,
15,HOU,ARI,Home,,,,,,,,,,,,,,
16,HOU,LV,Home,,,,,,,,,,,,,,
17,HOU,LAC,Away,,,,,,,,,,,,,,
18,HOU,IND,Home,,,,,,,,,,,,,,
1,IND,MIA,Home,,,,,,,,,,,,,,
2,IND,DEN,Home,,,,,,,,,,,,,,
3,IND,TEN,Away,,,,,,,,,,,,,,
4,IND,LAR,Away,,,,,,,,,,,,,,
5,IND,LV,Home,,,,,,,,,,,,,,
6,IND,ARI,Home,,,,,,,,,,,,,,
7,IND,LAC,Away,,,,,,,,,,,,,,
8,IND,TEN,Home,,,,,,,,,,,,,,
9,IND,PIT,Away,,,,,,,,,,,,,,
10,IND,ATL,Home,,,,,,,,,,,,,,
11,IND,BYE,Home,,,,,,,,,,,,,,
12,IND,KC,Away,,,,,,,,,,,,,,
13,IND,HOU,Home,,,,,,,,,,,,,,
14,IND,JAX,Away,,,,,,,,,,,,,,
15,IND,SEA,Away,,,,,,,,,,,,,,
16,IND,SF,Home,,,,,,,,,,,,,,
17,IND,JAX,Home,,,,,,,,,,,,,,
18,IND,HOU,Away,,,,,,,,,,,,,,
1,JAX,CAR,Home,,,,,,,,,,,,,,
2,JAX,CIN,Away,,,,,,,,,,,,,,
3,JAX,HOU,Home,,,,,,,,,,,,,,
4,JAX,SF,Away,,,,,,,,,,,,,,
5,JAX,KC,Home,,,,,,,,,,,,,,
6,JAX,SEA,Home,,,,,,,,,,,,,,
7,JAX,LAR,Home,,,,,,,,,,,,,,
8,JAX,BYE,Home,,,,,,,,,,,,,,
9,JAX,LV,Away,,,,,,,,,,,,,,
10,JAX,HOU,Away,,,,,,,,,,,,,,
11,JAX,LAC,Home,,,,,,,,,,,,,,
12,JAX,ARI,Away,,,,,,,,,,,,,,
13,JAX,TEN,Away,,,,,,,,,,,,,,
14,JAX,IND,Home,,,,,,,,,,,,,,
15,JAX,NYJ,Home,,,,,,,,,,,,,,
16,JAX,DEN,Away,,,,,,,,,,,,,,
17,JAX,IND,Away,,,,,,,,,,,,,,
18,JAX,TEN,Home,,,,,,,,,,,,,,
1,KC,LAC,Away,,,,,,,,,,,,,,
2,KC,PHI,Home,,,,,,,,,,,,,,
3,KC,NYG,Away,,,,,,,,,,,,,,
4,KC,BAL,Home,,,,,,,,,,,,,,
5,KC,JAX,Away,,,,,,,,,,,,,,
6,KC,DET,Home,,,,,,,,,,,,,,
7,KC,LV,Home,,,,,,,,,,,,,,
8,KC,WSH,Home,,,,,,,,,,,,,,
9,KC,BUF,Away,,,,,,,,,,,,,,
10,KC,BYE,Home,,,,,,,,,,,,,,
11,KC,DEN,Away,,,,,,,,,,,,,,
12,KC,IND,Home,,,,,,,,,,,,,,
13,KC,DAL,Away,,,,,,,,,,,,Thanksgiving,,
14,KC,HOU,Home,,,,,,,,,,,,,,
15,KC,LAC,Home,,,,,,,,,,,,,,
16,KC,TEN,Away,,,,,,,,,,,,,,
17,KC,DEN,Home,,,,,,,,,,,,Christmas,,
18,KC,LV,Away,,,,,,,,,,,,,,
1,LAC,KC,Home,,,,,,,,,,,,,,
2,LAC,LV,Away,,,,,,,,,,,,,,
3,LAC,DEN,Home,,,,,,,,,,,,,,
4,LAC,NYG,Away,,,,,,,,,,,,,,
5,LAC,WSH,Home,,,,,,,,,,,,,,
6,LAC,MIA,Away,,,,,,,,,,,,,,
7,LAC,IND,Home,,,,,,,,,,,,,,
8,LAC,MIN,Home,,,,,,,,,,,,,,
9,LAC,TEN,Away,,,,,,,,,,,,,,
10,LAC,PIT,Home,,,,,,,,,,,,,,
11,LAC,JAX,Away,,,,,,,,,,,,,,
12,LAC,BYE,Home,,,,,,,,,,,,,,
13,LAC,LV,Home,,,,,,,,,,,,,,
14,LAC,PHI,Home,,,,,,,,,,,,,,
15,LAC,KC,Away,,,,,,,,,,,,,,
16,LAC,DAL,Away,,,,,,,,,,,,,,
17,LAC,HOU,Home,,,,,,,,,,,,,,
18,LAC,DEN,Away,,,,,,,,,,,,,,
1,LAR,HOU,Home,,,,,,,,,,,,,,
2,LAR,TEN,Away,,,,,,,,,,,,,,
3,LAR,PHI,Away,,,,,,,,,,,,,,
4,LAR,IND,Home,,,,,,,,,,,,,,
5,LAR,SF,Home,,,,,,,,,,,,,,
6,LAR,BAL,Away,,,,,,,,,,,,,,
7,LAR,JAX,Away,,,,,,,,,,,,,,
8,LAR,BYE,Home,,,,,,,,,,,,,,
9,LAR,NO,Home,,,,,,,,,,,,,,
10,LAR,SF,Away,,,,,,,,,,,,,,
11,LAR,SEA,Home,,,,,,,,,,,,,,
12,LAR,TB,Home,,,,,,,,,,,,,,
13,LAR,CAR,Away,,,,,,,,,,,,,,
14,LAR,ARI,Away,,,,,,,,,,,,,,
15,LAR,DET,Home,,,,,,,,,,,,,,
16,LAR,SEA,Away,,,,,,,,,,,,,,
17,LAR,ATL,Away,,,,,,,,,,,,,,
18,LAR,ARI,Home,,,,,,,,,,,,,,
1,LV,NE,Away,,,,,,,,,,,,,,
2,LV,LAC,Home,,,,,,,,,,,,,,
3,LV,WSH,Away,,,,,,,,,,,,,,
4,LV,CHI,Home,,,,,,,,,,,,,,
5,LV,IND,Away,,,,,,,,,,,,,,
6,LV,TEN,Home,,,,,,,,,,,,,,
7,LV,KC,Away,,,,,,,,,,,,,,
8,LV,BYE,Home,,,,,,,,,,,,,,
9,LV,JAX,Home,,,,,,,,,,,,,,
10,LV,DEN,Away,,,,,,,,,,,,,,
11,LV,DAL,Home,,,,,,,,,,,,,,
12,LV,CLE,Home,,,,,,,,,,,,,,
13,LV,LAC,Away,,,,,,,,,,,,,,
14,LV,DEN,Home,,,,,,,,,,,,,,
15,LV,PHI,Away,,,,,,,,,,,,,,
16,LV,HOU,Away,,,,,,,,,,,,,,
17,LV,NYG,Home,,,,,,,,,,,,,,
18,LV,KC,Home,,,,,,,,,,,,,,
1,MIA,IND,Away,,,,,,,,,,,,,,
2,MIA,NE,Home,,,,,,,,,,,,,,
3,MIA,BUF,Away,,,,,,,,,,,,,,
4,MIA,NYJ,Home,,,,,,,,,,,,,,
5,MIA,CAR,Away,,,,,,,,,,,,,,
6,MIA,LAC,Home,,,,,,,,,,,,,,
7,MIA,CLE,Away,,,,,,,,,,,,,,
8,MIA,ATL,Away,,,,,,,,,,,,,,
9,MIA,BAL,Home,,,,,,,,,,,,,,
10,MIA,BUF,Home,,,,,,,,,,,,,,
