week,team,opponent,home_or_away,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,holiday_flag,spot_value_score,scarcity_boost
11,SF,ARI,Away,,,,,,,,,,,,,,
12,SF,CAR,Home,,,,,,,,,,,,,,
13,SF,CLE,Away,,,,,,,,,,,,,,
14,SF,BYE,Home,,,,,,,,,,,,,,
15,SF,TEN,Home,,,,,,,,,,,,,,
16,SF,IND,Away,,,,,,,,,,,,,,
17,SF,CHI,Home,,,,,,,,,,,,,,
18,SF,SEA,Home,,,,,,,,,,,,,,
1,TB,ATL,Away,,,,,,,,,,,,,,
2,TB,HOU,Away,,,,,,,,,,,,,,
3,TB,NYJ,Home,,,,,,,,,,,,,,
4,TB,PHI,Home,,,,,,,,,,,,,,
5,TB,SEA,Away,,,,,,,,,,,,,,
6,TB,SF,Home,,,,,,,,,,,,,,
7,TB,DET,Away,,,,,,,,,,,,,,
8,TB,NO,Away,,,,,,,,,,,,,,
9,TB,BYE,Home,,,,,,,,,,,,,,
10,TB,NE,Home,,,,,,,,,,,,,,
11,TB,BUF,Away,,,,,,,,,,,,,,
12,TB,LAR,Away,,,,,,,,,,,,,,
13,TB,ARI,Home,,,,,,,,,,,,,,
14,TB,NO,Home,,,,,,,,,,,,,,
15,TB,ATL,Home,,,,,,,,,,,,,,
16,TB,CAR,Away,,,,,,,,,,,,,,
17,TB,MIA,Away,,,,,,,,,,,,,,
18,TB,CAR,Home,,,,,,,,,,,,,,
1,TEN,DEN,Away,,,,,,,,,,,,,,
2,TEN,LAR,Home,,,,,,,,,,,,,,
3,TEN,IND,Home,,,,,,,,,,,,,,
4,TEN,HOU,Away,,,,,,,,,,,,,,
5,TEN,ARI,Away,,,,,,,,,,,,,,
6,TEN,LV,Away,,,,,,,,,,,,,,
7,TEN,NE,Home,,,,,,,,,,,,,,
8,TEN,IND,Away,,,,,,,,,,,,,,
9,TEN,LAC,Home,,,,,,,,,,,,,,
10,TEN,BYE,Home,,,,,,,,,,,,,,
11,TEN,HOU,Home,,,,,,,,,,,,,,
12,TEN,SEA,Home,,,,,,,,,,,,,,
13,TEN,JAX,Home,,,,,,,,,,,,,,
14,TEN,CLE,Away,,,,,,,,,,,,,,
15,TEN,SF,Away,,,,,,,,,,,,,,
16,TEN,KC,Home,,,,,,,,,,,,,,
17,TEN,NO,Home,,,,,,,,,,,,,,
18,TEN,JAX,Away,,,,,,,,,,,,,,
1,WSH,NYG,Home,,,,,,,,,,,,,,
2,WSH,GB,Away,,,,,,,,,,,,,,
3,WSH,LV,Home,,,,,,,,,,,,,,
4,WSH,ATL,Away,,,,,,,,,,,,,,
5,WSH,LAC,Away,,,,,,,,,,,,,,
6,WSH,CHI,Home,,,,,,,,,,,,,,
7,WSH,DAL,Away,,,,,,,,,,,,,,
8,WSH,KC,Away,,,,,,,,,,,,,,
9,WSH,SEA,Home,,,,,,,,,,,,,,
10,WSH,DET,Home,,,,,,,,,,,,,,
11,WSH,MIA,Away,,,,,,,,,,,,,,
12,WSH,BYE,Home,,,,,,,,,,,,,,
13,WSH,DEN,Home,,,,,,,,,,,,,,
14,WSH,MIN,Away,,,,,,,,,,,,,,
15,WSH,NYG,Away,,,,,,,,,,,,,,
16,WSH,PHI,Home,,,,,,,,,,,,,,
17,WSH,DAL,Home,,,,,,,,,,,,Christmas,,
18,WSH,PHI,Away,,,,,,,,,,,,,,
