week,date,team,opponent,home_or_away,time,rest_days,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,spot_value_score
5,2025-10-05,BUF,NE,Home,8:20 PM,0,False,False,False,,,,,False,False,False,,
6,2025-10-13,BUF,ATL,Away,7:15 PM,0,False,False,False,,,,,False,False,False,,
7,,BUF,BYE,Home,,0,False,False,False,,,,,False,False,False,,
8,2025-10-26,BUF,CAR,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
9,2025-11-02,BUF,KC,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
10,2025-11-09,BUF,MIA,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
11,2025-11-16,BUF,TB,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
12,2025-11-20,BUF,HOU,Away,8:15 PM,0,False,False,False,,,,,False,False,False,,
13,2025-11-30,BUF,PIT,Away,4:25 PM,0,False,False,False,,,,,False,False,False,,
14,2025-12-07,BUF,CIN,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
15,2025-12-14,BUF,NE,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
16,2025-12-21,BUF,CLE,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
17,2025-12-28,BUF,PHI,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
18,2026-01-04,BUF,NYJ,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
1,2025-09-07,CAR,JAX,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
2,2025-09-14,CAR,ARI,Away,4:05 PM,0,False,False,False,,,,,False,False,False,,
3,2025-09-21,CAR,ATL,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
4,2025-09-28,CAR,NE,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
5,2025-10-05,CAR,MIA,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
6,2025-10-12,CAR,DAL,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
7,2025-10-19,CAR,NYJ,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
8,2025-10-26,CAR,BUF,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
9,2025-11-02,CAR,GB,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
10,2025-11-09,CAR,NO,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
11,2025-11-16,CAR,ATL,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
12,2025-11-24,CAR,SF,Away,8:15 PM,0,False,False,False,,,,,False,False,False,,
13,2025-11-30,CAR,LAR,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
14,,CAR,BYE,Home,,0,False,False,False,,,,,False,False,False,,
15,2025-12-14,CAR,NO,Away,4:25 PM,0,False,False,False,,,,,False,False,False,,
16,2025-12-21,CAR,TB,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
17,2025-12-28,CAR,SEA,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
18,2026-01-04,CAR,TB,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
1,2025-09-08,CHI,MIN,Home,8:15 PM,0,False,False,False,,,,,False,False,False,,
2,2025-09-14,CHI,DET,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
3,2025-09-21,CHI,DAL,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
4,2025-09-28,CHI,LV,Away,4:25 PM,0,False,False,False,,,,,False,False,False,,
5,,CHI,BYE,Home,,0,False,False,False,,,,,False,False,False,,
6,2025-10-13,CHI,WSH,Away,8:15 PM,0,False,False,False,,,,,False,False,False,,
7,2025-10-19,CHI,NO,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
8,2025-10-26,CHI,BAL,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
9,2025-11-02,CHI,CIN,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
10,2025-11-09,CHI,NYG,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
11,2025-11-16,CHI,MIN,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
12,2025-11-23,CHI,PIT,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
13,2025-11-28,CHI,PHI,Away,3:00 PM,0,False,False,False,,,,,False,False,False,,
14,2025-12-07,CHI,GB,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
15,2025-12-14,CHI,CLE,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
16,2025-12-20,CHI,GB,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
17,2025-12-28,CHI,SF,Away,8:20 PM,0,False,False,False,,,,,False,False,False,,
18,2026-01-04,CHI,DET,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
1,2025-09-07,CIN,CLE,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
2,2025-09-14,CIN,JAX,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
3,2025-09-21,CIN,MIN,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
4,2025-09-29,CIN,DEN,Away,8:15 PM,0,False,False,False,,,,,False,False,False,,
5,2025-10-05,CIN,DET,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
6,2025-10-12,CIN,GB,Away,4:25 PM,0,False,False,False,,,,,False,False,False,,
7,2025-10-16,CIN,PIT,Home,8:15 PM,0,False,False,False,,,,,False,False,False,,
8,2025-10-26,CIN,NYJ,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
9,2025-11-02,CIN,CHI,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
10,,CIN,BYE,Home,,0,False,False,False,,,,,False,False,False,,
11,2025-11-16,CIN,PIT,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
12,2025-11-23,CIN,NE,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
13,2025-11-27,CIN,BAL,Away,8:20 PM,0,False,False,False,,,,,False,False,False,,
14,2025-12-07,CIN,BUF,Away,4:25 PM,0,False,False,False,,,,,False,False,False,,
15,2025-12-14,CIN,BAL,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
16,2025-12-21,CIN,MIA,Away,8:20 PM,0,False,False,False,,,,,False,False,False,,
17,2025-12-28,CIN,ARI,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
18,2026-01-04,CIN,CLE,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
1,2025-09-07,CLE,CIN,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
2,2025-09-14,CLE,BAL,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
3,2025-09-21,CLE,GB,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
4,2025-09-28,CLE,DET,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
5,2025-10-05,CLE,MIN,Home,9:30 AM,0,False,False,False,,,,,False,False,False,,
6,2025-10-12,CLE,PIT,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
7,2025-10-19,CLE,MIA,Home,1:00 PM,0,False,False,False,,,,,False,False,False,,
8,2025-10-26,CLE,NE,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
9,,CLE,BYE,Home,,0,False,False,False,,,,,False,False,False,,
10,2025-11-09,CLE,NYJ,Away,1:00 PM,0,False,False,False,,,,,False,False,False,,
11,2025-11-16,CLE,BAL,Home,4:25 PM,0,False,False,False,,,,,False,False,False,,
12,2025-11-23,CLE,LV,Away,4:05 PM,0,False,False,False,,,,,False,False,False,,
