week,team,opponent,home_or_away,reserved,is_locked_out,expected_avail,spot_value,projected_win_prob,notes_future,spot_quality,preferred,must_use,save_for_later,notes,holiday_flag,spot_value_score,scarcity_boost,team_tot_dvoa,opp_tot_dvoa,dvoa_gap
11,PHI,DET,Home,,,,,,,,,,,,,,,21.3,34.8,-13.499999999999996
12,PHI,DAL,Away,,,,,,,,,,,,,,,21.3,-11.6,32.9
13,PHI,CHI,Home,,,,,,,,,,,,,,,21.3,-12.7,34.0
14,PHI,LAC,Away,,,,,,,,,,,,,,,21.3,12.6,8.700000000000001
15,PHI,LV,Home,,,,,,,,,,,,,,,21.3,-19.6,40.900000000000006
16,PHI,WSH,Away,,,,,,,,,,,,,,,21.3,,21.3
17,PHI,BUF,Away,,,,,,,,,,,,,,,21.3,22.7,-1.3999999999999986
18,PHI,WSH,Home,,,,,,,,,,,,,,,21.3,,21.3
1,PIT,NYJ,Away,,,,,,,,,,,,,,,6.3,-11.4,17.7
2,PIT,SEA,Home,,,,,,,,,,,,,,,6.3,2.3,4.0
3,PIT,NE,Away,,,,,,,,,,,,,,,6.3,-29.7,36.0
4,PIT,MIN,Home,,,,,,,,,,,,,,,6.3,16.1,-9.8
5,PIT,BYE,Home,,,,,,,,,,,,,,,6.3,,6.3
6,PIT,CLE,Home,,,,,,,,,,,,,,,6.3,-39.9,46.2
7,PIT,CIN,Away,,,,,,,,,,,,,,,6.3,7.0,-0.7000000000000002
8,PIT,GB,Home,,,,,,,,,,,,,,,6.3,24.5,-18.2
9,PIT,IND,Home,,,,,,,,,,,,,,,6.3,-7.1,13.4
10,PIT,LAC,Away,,,,,,,,,,,,,,,6.3,12.6,-6.3
11,PIT,CIN,Home,,,,,,,,,,,,,,,6.3,7.0,-0.7000000000000002
12,PIT,CHI,Away,,,,,,,,,,,,,,,6.3,-12.7,19.0
13,PIT,BUF,Home,,,,,,,,,,,,,,,6.3,22.7,-16.4
14,PIT,BAL,Away,,,,,,,,,,,,,,,6.3,41.4,-35.1
15,PIT,MIA,Home,,,,,,,,,,,,,,,6.3,-9.8,16.1
16,PIT,DET,Away,,,,,,,,,,,,,,,6.3,34.8,-28.5
17,PIT,CLE,Away,,,,,,,,,,,,,,,6.3,-39.9,46.2
18,PIT,BAL,Home,,,,,,,,,,,,,,,6.3,41.4,-35.1
1,SEA,SF,Home,,,,,,,,,,,,,,,2.3,6.7,-4.4
2,SEA,PIT,Away,,,,,,,,,,,,,,,2.3,6.3,-4.0
3,SEA,NO,Home,,,,,,,,,,,,,,,2.3,-10.6,12.9
4,SEA,ARI,Away,,,,,,,,,,,,,,,2.3,8.8,-6.500000000000001
5,SEA,TB,Home,,,,,,,,,,,,,,,2.3,9.4,-7.1000000000000005
6,SEA,JAX,Away,,,,,,,,,,,,,,,2.3,-17.7,20.0
7,SEA,HOU,Home,,,,,,,,,,,,,,,2.3,5.3,-3.0
8,SEA,BYE,Home,,,,,,,,,,,,,,,2.3,,2.3
9,SEA,WSH,Away,,,,,,,,,,,,,,,2.3,,2.3
10,SEA,ARI,Home,,,,,,,,,,,,,,,2.3,8.8,-6.500000000000001
11,SEA,LAR,Away,,,,,,,,,,,,,,,2.3,5.1,-2.8
12,SEA,TEN,Away,,,,,,,,,,,,,,,2.3,-33.5,35.8
13,SEA,MIN,Home,,,,,,,,,,,,,,,2.3,16.1,-13.8
14,SEA,ATL,Away,,,,,,,,,,,,,,,2.3,-7.3,9.6
15,SEA,IND,Home,,,,,,,,,,,,,,,2.3,-7.1,9.4
16,SEA,LAR,Home,,,,,,,,,,,,,,,2.3,5.1,-2.8
17,SEA,CAR,Away,,,,,,,,,,,,,,,2.3,-32.9,35.2
18,SEA,SF,Away,,,,,,,,,,,,,,,2.3,6.7,-4.4
1,SF,SEA,Away,,,,,,,,,,,,,,,6.7,2.3,4.4
2,SF,NO,Away,,,,,,,,,,,,,,,6.7,-10.6,17.3
3,SF,ARI,Home,,,,,,,,,,,,,,,6.7,8.8,-2.1000000000000005
4,SF,JAX,Home,,,,,,,,,,,,,,,6.7,-17.7,24.4
5,SF,LAR,Away,,,,,,,,,,,,,,,6.7,5.1,1.6000000000000003
6,SF,TB,Away,,,,,,,,,,,,,,,6.7,9.4,-2.7
7,SF,ATL,Home,,,,,,,,,,,,,,,6.7,-7.3,14.0
8,SF,HOU,Away,,,,,,,,,,,,,,,6.7,5.3,1.4000000000000004
9,SF,NYG,Away,,,,,,,,,,,,,,,6.7,-21.9,28.6
10,SF,LAR,Home,,,,,,,,,,,,,,,6.7,5.1,1.6000000000000003
11,SF,ARI,Away,,,,,,,,,,,,,,,6.7,8.8,-2.1000000000000005
12,SF,CAR,Home,,,,,,,,,,,,,,,6.7,-32.9,39.6
13,SF,CLE,Away,,,,,,,,,,,,,,,6.7,-39.9,46.6
14,SF,BYE,Home,,,,,,,,,,,,,,,6.7,,6.7
15,SF,TEN,Home,,,,,,,,,,,,,,,6.7,-33.5,40.2
16,SF,IND,Away,,,,,,,,,,,,,,,6.7,-7.1,13.8
17,SF,CHI,Home,,,,,,,,,,,,,,,6.7,-12.7,19.4
18,SF,SEA,Home,,,,,,,,,,,,,,,6.7,2.3,4.4
1,TB,ATL,Away,,,,,,,,,,,,,,,9.4,-7.3,16.7
2,TB,HOU,Away,,,,,,,,,,,,,,,9.4,5.3,4.1000000000000005
3,TB,NYJ,Home,,,,,,,,,,,,,,,9.4,-11.4,20.8
4,TB,PHI,Home,,,,,,,,,,,,,,,9.4,21.3,-11.9
5,TB,SEA,Away,,,,,,,,,,,,,,,9.4,2.3,7.1000000000000005
6,TB,SF,Home,,,,,,,,,,,,,,,9.4,6.7,2.7
7,TB,DET,Away,,,,,,,,,,,,,,,9.4,34.8,-25.4
8,TB,NO,Away,,,,,,,,,,,,,,,9.4,-10.6,20.0
9,TB,BYE,Home,,,,,,,,,,,,,,,9.4,,9.4
10,TB,NE,Home,,,,,,,,,,,,,,,9.4,-29.7,39.1
11,TB,BUF,Away,,,,,,,,,,,,,,,9.4,22.7,-13.3
12,TB,LAR,Away,,,,,,,,,,,,,,,9.4,5.1,4.300000000000001
13,TB,ARI,Home,,,,,,,,,,,,,,,9.4,8.8,0.5999999999999996
14,TB,NO,Home,,,,,,,,,,,,,,,9.4,-10.6,20.0
15,TB,ATL,Home,,,,,,,,,,,,,,,9.4,-7.3,16.7
16,TB,CAR,Away,,,,,,,,,,,,,,,9.4,-32.9,42.3
17,TB,MIA,Away,,,,,,,,,,,,,,,9.4,-9.8,19.200000000000003
18,TB,CAR,Home,,,,,,,,,,,,,,,9.4,-32.9,42.3
1,TEN,DEN,Away,,,,,,,,,,,,,,,-33.5,16.3,-49.8
2,TEN,LAR,Home,,,,,,,,,,,,,,,-33.5,5.1,-38.6
3,TEN,IND,Home,,,,,,,,,,,,,,,-33.5,-7.1,-26.4
4,TEN,HOU,Away,,,,,,,,,,,,,,,-33.5,5.3,-38.8
5,TEN,ARI,Away,,,,,,,,,,,,,,,-33.5,8.8,-42.3
6,TEN,LV,Away,,,,,,,,,,,,,,,-33.5,-19.6,-13.9
7,TEN,NE,Home,,,,,,,,,,,,,,,-33.5,-29.7,-3.8000000000000007
8,TEN,IND,Away,,,,,,,,,,,,,,,-33.5,-7.1,-26.4
9,TEN,LAC,Home,,,,,,,,,,,,,,,-33.5,12.6,-46.1
10,TEN,BYE,Home,,,,,,,,,,,,,,,-33.5,,-33.5
11,TEN,HOU,Home,,,,,,,,,,,,,,,-33.5,5.3,-38.8
12,TEN,SEA,Home,,,,,,,,,,,,,,,-33.5,2.3,-35.8
13,TEN,JAX,Home,,,,,,,,,,,,,,,-33.5,-17.7,-15.8
14,TEN,CLE,Away,,,,,,,,,,,,,,,-33.5,-39.9,6.399999999999999
15,TEN,SF,Away,,,,,,,,,,,,,,,-33.5,6.7,-40.2
16,TEN,KC,Home,,,,,,,,,,,,,,,-33.5,14.7,-48.2
17,TEN,NO,Home,,,,,,,,,,,,,,,-33.5,-10.6,-22.9
18,TEN,JAX,Away,,,,,,,,,,,,,,,-33.5,-17.7,-15.8
1,WSH,NYG,Home,,,,,,,,,,,,,,,,-21.9,21.9
2,WSH,GB,Away,,,,,,,,,,,,,,,,24.5,-24.5
3,WSH,LV,Home,,,,,,,,,,,,,,,,-19.6,19.6
4,WSH,ATL,Away,,,,,,,,,,,,,,,,-7.3,7.3
5,WSH,LAC,Away,,,,,,,,,,,,,,,,12.6,-12.6
6,WSH,CHI,Home,,,,,,,,,,,,,,,,-12.7,12.7
7,WSH,DAL,Away,,,,,,,,,,,,,,,,-11.6,11.6
8,WSH,KC,Away,,,,,,,,,,,,,,,,14.7,-14.7
9,WSH,SEA,Home,,,,,,,,,,,,,,,,2.3,-2.3
10,WSH,DET,Home,,,,,,,,,,,,,,,,34.8,-34.8
11,WSH,MIA,Away,,,,,,,,,,,,,,,,-9.8,9.8
12,WSH,BYE,Home,,,,,,,,,,,,,,,,,0.0
13,WSH,DEN,Home,,,,,,,,,,,,,,,,16.3,-16.3
14,WSH,MIN,Away,,,,,,,,,,,,,,,,16.1,-16.1
15,WSH,NYG,Away,,,,,,,,,,,,,,,,-21.9,21.9
16,WSH,PHI,Home,,,,,,,,,,,,,,,,21.3,-21.3
17,WSH,DAL,Home,,,,,,,,,,,,Christmas,,,,-11.6,11.6
18,WSH,PHI,Away,,,,,,,,,,,,,,,,21.3,-21.3
